;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2021;Inmuebles_totales;Viviendas_turisticas_2021;Turistas_2021;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021
Albaida;46;Valencia/Valéncia;46006;117.0;10.0;2.80373831775701;2.30952380952381;Comunitat Valenciana;5975.0;3330.0;8;7381;0.2402402402402402;127.0;3.813813813813814;3.5135135135135136;0.3003003003003003
Albal;46;Valencia/Valéncia;46007;639.0;46.0;4.54545454545455;4.08667911689945;Comunitat Valenciana;16646.0;6954.0;9;6178;0.1294219154443485;685.0;9.85044578659764;9.18895599654875;0.6614897900488927
Albalat de la Ribera;46;Valencia/Valéncia;46008;32.0;23.0;2.93689320388349;2.48616432524478;Comunitat Valenciana;3368.0;2059.0;0;799;0.0;55.0;2.6711996114618746;1.5541525012141817;1.117047110247693
Albalat dels Sorells;46;Valencia/Valéncia;46009;103.0;7.0;4.72586441967566;3.646915814862397;Comunitat Valenciana;4110.0;1958.0;17;737;0.8682328907048008;110.0;5.617977528089888;5.26046986721144;0.3575076608784474
Albalate del Arzobispo;44;Teruel;44008;8.0;4.0;3.6013068998166498;2.332377020920341;Aragón;1977.0;1523.0;7;2834;0.4596191726854892;12.0;0.7879185817465528;0.525279054497702;0.262639527248851
Albatera;3;Alicante;3005;219.0;28.0;2.99145299145299;2.68084066471163;Comunitat Valenciana;12714.0;6502.0;26;30088;0.3998769609350969;247.0;3.7988311288834207;3.3681944017225467;0.4306367271608736
Albatàrrec;25;Lleida;25007;83.0;26.0;4.59770114942529;2.82717282717283;Cataluña;2224.0;907.0;1;586;0.1102535832414553;109.0;12.017640573318634;9.151047409040794;2.866593164277839
Albelda de Iregua;26;Rioja, La;26005;96.0;13.0;3.73978338115352;3.94736842105263;Rioja, La;3484.0;2819.0;18;207;0.6385242993969493;109.0;3.866619368570415;3.405462930117063;0.4611564384533522
Alberic;46;Valencia/Valéncia;46011;173.0;37.0;3.04288382019474;3.7037037037037;Comunitat Valenciana;10571.0;5604.0;19;9755;0.3390435403283369;210.0;3.747323340471092;3.0870806566738045;0.6602426837972877
Albinyana;43;Tarragona;43002;0.0;83.0;4.928276361968281;5.68181818181818;Cataluña;2504.0;1771.0;4;6767;0.2258610954263128;83.0;4.686617730095991;0.0;4.686617730095991
Albolote;18;Granada;18003;474.0;117.0;5.47410102739726;4.26829268292683;Andalucía;19128.0;8861.0;45;17806;0.5078433585374111;591.0;6.669676108791333;5.349283376594064;1.3203927321972688
Albox;4;Almería;4006;187.0;46.0;3.06122448979592;2.55158253205128;Andalucía;12070.0;6939.0;33;20320;0.4755728491137051;233.0;3.357832540711918;2.694912811644329;0.662919729067589
Albuixech;46;Valencia/Valéncia;46014;136.0;24.0;4.47094882729211;3.81872706143953;Comunitat Valenciana;4189.0;1858.0;2;8279;0.1076426264800861;160.0;8.611410118406889;7.319698600645855;1.2917115177610334
Alburquerque;6;Badajoz;6006;25.0;38.0;2.80612244897959;2.06414128702072;Extremadura;5245.0;3263.0;17;44166;0.5209929512718358;63.0;1.9307385841250384;0.7661661048115231;1.1645724793135153
Albuñol;18;Granada;18006;147.0;28.0;4.02298850574713;3.58058608058608;Andalucía;7473.0;3698.0;24;13399;0.6489994591671173;175.0;4.732287723093564;3.9751216873985937;0.7571660356949702
Alcalà de Xivert;12;Castellón/Castelló;12004;303.0;68.0;3.88888888888889;2.54939096850862;Comunitat Valenciana;6691.0;10250.0;1559;189461;15.209756097560977;371.0;3.6195121951219513;2.9560975609756097;0.6634146341463415
Alcalá de Guadaíra;41;Sevilla;41004;1106.0;382.0;5.47963714918443;4.93189399555226;Andalucía;75546.0;31623.0;88;74516;0.2782784682035227;1488.0;4.70543591689593;3.497454384467002;1.2079815324289285
Alcalá de Henares;28;Madrid;28005;11377.0;405.0;8.33333333333333;8.03123853211009;Madrid, Comunidad de;195982.0;80428.0;367;289685;0.4563087481971453;11782.0;14.649127169642414;14.145571194111504;0.5035559755309096
Alcalá de los Gazules;11;Cádiz;11001;42.0;12.0;3.62288844858909;3.41869140034278;Andalucía;5245.0;3522.0;19;23964;0.5394662123793299;54.0;1.5332197614991483;1.192504258943782;0.3407155025553662
