;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2021;Inmuebles_totales;Viviendas_turisticas_2021;Turistas_2021;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021
Casarrubuelos;28;Madrid;28036;57.0;76.0;5.80873842592592;4.89510489510489;Madrid, Comunidad de;3939.0;1130.0;0;1005;0.0;133.0;11.769911504424778;5.04424778761062;6.725663716814159
Casas-Ibáñez;2;Albacete;2024;96.0;62.0;2.96245421245421;2.51118950869822;Castilla-La Mancha;4540.0;2735.0;20;2439;0.7312614259597806;158.0;5.776965265082267;3.510054844606947;2.26691042047532
Casasimarro;16;Cuenca;16066;8.0;42.0;3.4065477979121965;2.57620654510544;Castilla-La Mancha;3089.0;1961.0;0;1862;0.0;50.0;2.5497195308516063;0.407955124936257;2.141764405915349
Casinos;46;Valencia/Valéncia;46089;24.0;56.0;3.72766122766123;2.75409954489634;Comunitat Valenciana;2881.0;1157.0;10;425;0.8643042350907519;80.0;6.914433880726016;2.0743301642178045;4.840103716508211
Caspe;50;Zaragoza;50074;282.0;46.0;3.47751937984496;2.4618406285073;Aragón;10183.0;5525.0;32;43350;0.579185520361991;328.0;5.936651583710408;5.104072398190045;0.832579185520362
Cassà de la Selva;17;Girona;17044;464.0;233.0;5.92105263157895;3.77358490566038;Cataluña;10505.0;4569.0;26;10124;0.569052309039177;697.0;15.254979207704093;10.155395053622236;5.099584154081856
Castalla;3;Alicante;3053;197.0;69.0;3.0;3.46153846153846;Comunitat Valenciana;10752.0;7029.0;50;17500;0.7113387395077536;266.0;3.784322094181249;2.802674633660549;0.9816474605207
Castañeda;39;Cantabria;39019;151.0;17.0;5.6;4.90328772802653;Cantabria;3029.0;1586.0;32;1849;2.01765447667087;168.0;10.592686002522068;9.520807061790668;1.0718789407313998
Castejón;16;Cuenca;16067;28.368794326241133;8.99290780141844;3.4065477979121965;2.580710336211729;Castilla-La Mancha;2214.0;2013.0;6;4272;0.2980625931445603;37.36170212765957;1.8560209700774748;1.4092794002106872;0.4467415698667878
Castell, Es;7;Balears, Illes;7064;580.0;79.0;6.94444444444444;5.15873015873016;Balears, Illes;7530.0;4373.0;144;34546;3.292933912645781;659.0;15.069746169677568;13.263206037045506;1.8065401326320605
Castell-Platja d'Aro;17;Girona;17048;672.0;110.0;8.25154639175258;6.30997536189133;Cataluña;11455.0;15345.0;2227;309057;14.5128706419029;782.0;5.096122515477354;4.379276637341153;0.7168458781362007
Castellar;23;Jaén;23025;6.0;9.0;3.146629172627617;2.527683457804128;Andalucía;3267.0;1898.0;0;1724;0.0;15.0;0.7903055848261328;0.3161222339304531;0.4741833508956796
Castellar de Santiago;13;Ciudad Real;13033;4.0;7.0;3.4787665376387884;2.543070272119516;Castilla-La Mancha;1833.0;1546.0;7;313;0.4527813712807244;11.0;0.7115135834411385;0.258732212160414;0.4527813712807244
Castellar de la Frontera;11;Cádiz;11013;1.0;36.0;5.012413738285534;4.68440008531651;Andalucía;3070.0;1306.0;2;7338;0.1531393568147013;37.0;2.833078101071976;0.0765696784073506;2.756508422664625
Castellar del Vallès;8;Barcelona;8051;710.0;403.0;7.11602580982613;5.76923076923077;Cataluña;24659.0;9758.0;47;22367;0.4816560770649723;1113.0;11.406025824964132;7.276081164172986;4.129944660791145
Castellbell i el Vilar;8;Barcelona;8053;88.0;76.0;5.54390243902439;4.6432112890923;Cataluña;3853.0;2120.0;18;13275;0.8490566037735849;164.0;7.735849056603773;4.150943396226415;3.5849056603773586
Castellbisbal;8;Barcelona;8054;448.0;146.0;7.5764458400876;6.81934123186169;Cataluña;12610.0;5090.0;15;136323;0.2946954813359528;594.0;11.669941060903732;8.801571709233793;2.868369351669941
Castelldefels;8;Barcelona;8056;4686.0;535.0;11.5049005614235;11.5975286849073;Cataluña;67226.0;32296.0;580;178600;1.795888035670052;5221.0;16.166088679712658;14.509536784741144;1.6565518949715137
Castellet i la Gornal;8;Barcelona;8058;5.0;69.0;6.795169565780164;4.31034482758621;Cataluña;2452.0;1376.0;42;12802;3.052325581395349;74.0;5.377906976744186;0.3633720930232558;5.0145348837209305
Castellterçol;8;Barcelona;8064;143.0;93.0;5.14410368452285;3.72175141242938;Cataluña;2632.0;1587.0;11;501;0.6931316950220542;236.0;14.8708254568368;9.010712035286703;5.860113421550095
Castellvell del Camp;43;Tarragona;43042;7.0;20.0;4.928276361968281;4.54292176983339;Cataluña;2873.0;1265.0;6;453;0.4743083003952569;27.0;2.134387351778656;0.5533596837944664;1.5810276679841897
Castelló d'Empúries;17;Girona;17047;357.0;288.0;7.3469387755102;5.41486958589406;Cataluña;11154.0;16312.0;3181;618173;19.50098087297695;645.0;3.954144188327612;2.1885728298185385;1.765571358509073
Castelló de Rugat;46;Valencia/Valéncia;46090;39.0;22.0;2.39130434782609;2.26601544752385;Comunitat Valenciana;2316.0;1288.0;4;866;0.3105590062111801;61.0;4.736024844720497;3.027950310559006;1.708074534161491
Castilblanco de los Arroyos;41;Sevilla;41027;2.0;43.0;4.939061551348131;2.62212643678161;Andalucía;5059.0;3388.0;20;4365;0.5903187721369539;45.0;1.3282172373081464;0.0590318772136954;1.269185360094451
Castilleja de la Cuesta;41;Sevilla;41029;399.0;162.0;5.6969696969697;5.17608758931412;Andalucía;17366.0;6918.0;19;6808;0.2746458514021394;561.0;8.10928013876843;5.767562879444927;2.341717259323504
Castillo de Locubín;23;Jaén;23026;2.0;9.0;3.146629172627617;2.527683457804128;Andalucía;4019.0;2660.0;9;2166;0.3383458646616541;11.0;0.4135338345864661;0.075187969924812;0.3383458646616541
Castril;18;Granada;18046;0.0;5.0;4.206384226479411;3.2762375705642435;Andalucía;2018.0;1537.0;33;1908;2.147039687703318;5.0;0.3253090435914118;0.0;0.3253090435914118
Castrillón;33;Asturias;33016;931.0;101.0;5.55555555555556;4.41176470588235;Asturias, Principado de;22299.0;13127.0;170;18450;1.2950407556943704;1032.0;7.861659175744649;7.092252609126229;0.76940656661842
Castro de Rei;27;Lugo;27010;68.0;43.0;3.07316543638732;2.01342281879195;Galicia;5110.0;2467.0;2;4095;0.0810701256586947;111.0;4.49939197405756;2.7563842723956222;1.7430077016619376
Castro del Río;14;Córdoba;14019;27.0;28.0;2.90909090909091;2.0389874353289;Andalucía;7740.0;3849.0;4;3712;0.1039230969082878;55.0;1.428942582488958;0.7014809041309431;0.7274616783580151
Castro-Urdiales;39;Cantabria;39020;1202.0;87.0;7.17948717948718;5.45977011494253;Cantabria;32975.0;25732.0;400;67583;1.55448468832582;1289.0;5.009326908129955;4.671226488419089;0.3381004197108658
Castropol;33;Asturias;33017;31.0;36.0;4.41176470588235;2.56093422946102;Asturias, Principado de;3335.0;1894.0;82;6026;4.329461457233369;67.0;3.5374868004223865;1.6367476240760297;1.9007391763463568
Castroverde;27;Lugo;27011;6.0;15.0;2.8216744173774844;1.34615384615385;Galicia;2609.0;1635.0;6;4615;0.3669724770642202;21.0;1.2844036697247707;0.3669724770642202;0.9174311926605504
Castuera;6;Badajoz;6036;36.0;29.0;2.31404100101579;2.27272727272727;Extremadura;5708.0;4077.0;6;3570;0.1471670345842531;65.0;1.5943095413294088;0.8830022075055187;0.7113073338238901
Catadau;46;Valencia/Valéncia;46093;38.0;23.0;3.10782465016336;3.17460317460317;Comunitat Valenciana;2846.0;1423.0;7;3800;0.4919184820801124;61.0;4.286718200983837;2.6704146170063248;1.6163035839775124
Catarroja;46;Valencia/Valéncia;46094;1182.0;79.0;4.66101694915254;4.20168067226891;Comunitat Valenciana;28509.0;11805.0;29;27775;0.2456586192291402;1261.0;10.681914443032614;10.012706480304956;0.6692079627276578
Catllar, El;43;Tarragona;43043;29.0;58.0;4.6875;5.25254668930391;Cataluña;4740.0;2433.0;47;4721;1.9317714755445952;87.0;3.5758323057953145;1.1919441019317716;2.383888203863543
Catoira;36;Pontevedra;36010;24.0;16.0;3.67557986521055;1.86572199730094;Galicia;3316.0;1496.0;20;3405;1.3368983957219251;40.0;2.6737967914438503;1.60427807486631;1.0695187165775402
Catral;3;Alicante;3055;79.0;62.0;3.7037037037037;4.15579710144928;Comunitat Valenciana;8880.0;4541.0;41;13367;0.902884827130588;141.0;3.1050429420832417;1.7397049108125964;1.3653380312706451
Caudete;2;Albacete;2025;209.0;37.0;2.73504273504273;2.56849315068493;Castilla-La Mancha;10077.0;5607.0;5;29102;0.0891742464776172;246.0;4.387372926698769;3.7274835027644015;0.6598894239343678
Cazalla de la Sierra;41;Sevilla;41032;13.0;28.0;4.08496732026144;3.00213675213675;Andalucía;4752.0;2975.0;37;3093;1.2436974789915969;41.0;1.3781512605042017;0.4369747899159664;0.9411764705882352
Cazorla;23;Jaén;23028;123.0;18.0;3.46148917083173;2.98113546872634;Andalucía;7248.0;4840.0;186;14367;3.84297520661157;141.0;2.913223140495868;2.541322314049587;0.371900826446281
Cañete de las Torres;14;Córdoba;14014;3.0;6.0;3.3556591234157507;2.7032598275321136;Andalucía;2888.0;1663.0;0;583;0.0;9.0;0.5411906193625977;0.1803968731208659;0.3607937462417318
Cañiza, A;36;Pontevedra;36009;124.0;29.0;3.73214285714286;3.09112466124661;Galicia;5115.0;3815.0;46;59369;1.2057667103538665;153.0;4.010484927916121;3.250327653997379;0.7601572739187418
Cebolla;45;Toledo;45046;16.0;10.0;3.2258064516129;2.76984126984127;Castilla-La Mancha;3204.0;1900.0;0;496;0.0;26.0;1.368421052631579;0.8421052631578947;0.5263157894736842
Cebreros;5;Ávila;5057;53.0;46.0;3.33333333333333;2.66487920230459;Castilla y León;3246.0;3189.0;6;3522;0.1881467544684854;99.0;3.104421448730009;1.6619629978049546;1.4424584509250549
Ceclavín;10;Cáceres;10061;2.0;7.0;2.940886175242486;2.4188792491930404;Extremadura;1801.0;1552.0;0;3922;0.0;9.0;0.5798969072164949;0.1288659793814432;0.4510309278350515
Cedeira;15;Coruña, A;15022;163.0;33.0;3.39622641509434;2.20007936507937;Galicia;6650.0;5614.0;180;4813;3.206270039187745;196.0;3.491271820448878;2.9034556465977914;0.5878161738510865
Cedillo del Condado;45;Toledo;45047;229.0;55.0;4.8780487804878;4.16666666666667;Castilla-La Mancha;4025.0;2407.0;2;2715;0.0830909846281678;284.0;11.798919817199836;9.513917739925215;2.285002077274616
Cee;15;Coruña, A;15023;250.0;23.0;3.18665377176015;2.22222222222222;Galicia;7568.0;5512.0;146;11627;2.648766328011611;273.0;4.952830188679245;4.5355587808418;0.4172714078374456
Cehegín;30;Murcia;30017;118.0;52.0;3.1373031496063;2.40469738030714;Murcia, Región de;14798.0;8013.0;90;10631;1.1231748408835642;170.0;2.12155247722451;1.4726070136028953;0.6489454636216149
Celanova;32;Ourense;32024;159.0;23.0;2.94871794871795;2.40909090909091;Galicia;5652.0;5038.0;25;1361;0.4962286621675268;182.0;3.6125446605795952;3.1560142913854703;0.4565303691941246
Cella;44;Teruel;44076;45.0;22.0;3.34328304625334;2.39617486338798;Aragón;2578.0;1760.0;10;4105;0.5681818181818182;67.0;3.8068181818181817;2.5568181818181817;1.25
Cellera de Ter, La;17;Girona;17189;55.0;45.0;4.63563829787234;3.10644518538544;Cataluña;1973.0;973.0;20;789;2.055498458376156;100.0;10.27749229188078;5.65262076053443;4.624871531346352
Celrà;17;Girona;17049;331.0;71.0;6.0906862745098;3.06349206349206;Cataluña;5606.0;2037.0;13;27805;0.6381934216985763;402.0;19.734904270986743;16.249386352479135;3.4855179185076093
Cenes de la Vega;18;Granada;18047;340.0;28.0;5.0;4.37284901960784;Andalucía;8181.0;4229.0;73;3483;1.726176401040435;368.0;8.701820761409317;8.039725703476;0.6620950579333176
Cenicero;26;Rioja, La;26046;34.0;7.0;3.75672043010753;3.336079012169648;Rioja, La;2106.0;1582.0;12;3206;0.7585335018963337;41.0;2.5916561314791404;2.149178255372945;0.4424778761061947
Cenicientos;28;Madrid;28037;12.0;31.0;3.52990033222591;2.86666666666667;Madrid, Comunidad de;2083.0;1896.0;2;2212;0.1054852320675105;43.0;2.2679324894514767;0.6329113924050633;1.6350210970464134
Centelles;8;Barcelona;8067;431.0;133.0;6.17283950617284;4.08163265306122;Cataluña;7595.0;3479.0;6;6913;0.1724633515377982;564.0;16.211555044553034;12.388617418798503;3.8229376257545273
Cerceda;15;Coruña, A;15024;57.0;47.0;3.13083333333333;2.91666666666667;Galicia;4996.0;2923.0;6;6689;0.2052685596989394;104.0;3.5579883681149505;1.9500513171399247;1.6079370509750257
Cercedilla;28;Madrid;28038;308.0;163.0;6.77083333333333;5.34784013605442;Madrid, Comunidad de;7359.0;5037.0;131;4233;2.600754417311892;471.0;9.35080405002978;6.114750843756204;3.236053206273576
Cerdanyola del Vallès;8;Barcelona;8266;3056.0;356.0;9.11037542357767;7.85829457147326;Cataluña;57217.0;25693.0;72;104268;0.280231969797221;3412.0;13.279881679834974;11.89429027361538;1.3855914062195929
Cerro de Andévalo, El;21;Huelva;21023;2.0;7.0;4.313293184460584;3.5780910111542807;Andalucía;2320.0;1578.0;0;3206;0.0;9.0;0.5703422053231939;0.1267427122940431;0.4435994930291508
Cervelló;8;Barcelona;8068;242.0;185.0;7.8859553123575;6.60714285714286;Cataluña;9233.0;3988.0;20;35218;0.5015045135406219;427.0;10.707121364092275;6.068204613841525;4.638916750250752
Cervera;25;Lleida;25072;451.0;98.0;3.68421052631579;3.39394438045088;Cataluña;9328.0;4896.0;9;17321;0.1838235294117647;549.0;11.213235294117649;9.211601307189545;2.001633986928105
Cervera de Pisuerga;34;Palencia;34056;102.0;15.0;3.43925767330379;3.2258064516129;Castilla y León;2288.0;2040.0;14;5577;0.6862745098039216;117.0;5.735294117647059;5.0;0.7352941176470589
Cervera del Río Alhama;26;Rioja, La;26047;16.0;10.0;3.91989174509599;3.30297334244703;Rioja, La;2313.0;2448.0;1;12782;0.0408496732026143;26.0;1.062091503267974;0.6535947712418301;0.4084967320261438
Cervo;27;Lugo;27013;79.0;29.0;3.03030303030303;1.93452380952381;Galicia;4192.0;2951.0;67;7972;2.270416807861742;108.0;3.6597763470010167;2.677058624195188;0.9827177228058286
Ceuta;51;Ceuta;51001;2067.0;339.0;8.75;8.10810810810811;Ceuta;83517.0;27615.0;105;290625;0.3802281368821292;2406.0;8.712656165127648;7.485062466051059;1.2275936990765888
Ceutí;30;Murcia;30018;183.0;59.0;3.56758333333333;3.01587301587302;Murcia, Región de;12199.0;5078.0;3;7002;0.0590783773139031;242.0;4.765655769988184;3.6037810161480897;1.1618747538400944
Chantada;27;Lugo;27016;184.0;27.0;2.8388942617666;2.80373831775701;Galicia;8134.0;6437.0;59;4740;0.9165760447413392;211.0;3.2779244989902128;2.8584744446170576;0.4194500543731552
Chauchina;18;Granada;18059;22.0;46.0;3.53982866641094;2.91538038464268;Andalucía;5624.0;2603.0;1;2701;0.0384172109104879;68.0;2.612370341913177;0.8451786400307337;1.7671917018824432
Chella;46;Valencia/Valéncia;46107;33.0;22.0;2.6123595505618;1.71361502347418;Comunitat Valenciana;2437.0;2054.0;28;1360;1.3631937682570594;55.0;2.6777020447906525;1.6066212268743914;1.071080817916261
Cheste;46;Valencia/Valéncia;46109;327.0;64.0;3.73831775700935;3.03061224489796;Comunitat Valenciana;8871.0;5377.0;22;19535;0.4091500836897898;391.0;7.2717128510321745;6.081458062116422;1.1902547889157522
Chiclana de la Frontera;11;Cádiz;11015;897.0;889.0;5.79245283018868;5.05050505050505;Andalucía;86306.0;42219.0;2463;190259;5.833866268741562;1786.0;4.230322840427296;2.124635827471044;2.105687012956252
Chilches/Xilxes;12;Castellón/Castelló;12053;113.0;21.0;4.63692307692308;2.38095238095238;Comunitat Valenciana;2795.0;3698.0;77;5296;2.0822065981611684;134.0;3.623580313683072;3.055705786911844;0.5678745267712277
Chillón;13;Ciudad Real;13038;3.0;3.0;3.4787665376387884;2.543070272119516;Castilla-La Mancha;1777.0;1439.0;2;1246;0.1389854065323141;6.0;0.4169562195969423;0.2084781097984711;0.2084781097984711
Chiloeches;19;Guadalajara;19105;98.0;94.0;6.15132359924027;4.66988727858293;Castilla-La Mancha;3797.0;1750.0;7;14649;0.4;192.0;10.971428571428572;5.6;5.371428571428571
Chinchilla de Monte-Aragón;2;Albacete;2029;172.0;52.0;4.44659817794146;3.30311674343142;Castilla-La Mancha;4344.0;2696.0;25;11139;0.9272997032640948;224.0;8.308605341246292;6.379821958456973;1.9287833827893173
Chinchón;28;Madrid;28052;136.0;68.0;5.55555555555556;4.3373745819398;Madrid, Comunidad de;5506.0;3144.0;46;9393;1.4631043256997456;204.0;6.488549618320611;4.325699745547074;2.162849872773537
Chipiona;11;Cádiz;11016;193.0;218.0;6.33333333333333;6.01744538728168;Andalucía;19368.0;16336.0;422;27898;2.5832517140058764;411.0;2.5159157688540645;1.1814397649363368;1.3344760039177277
Chiva;46;Valencia/Valéncia;46111;370.0;327.0;3.69395711500975;5.25173611111111;Comunitat Valenciana;15769.0;11315.0;106;76899;0.9368095448519664;697.0;6.159964648696421;3.2699955810870525;2.889969067609368
Chozas de Abajo;24;León;24065;2.0;35.0;3.5678083635732585;3.36134453781513;Castilla y León;2596.0;1858.0;3;2729;0.1614639397201291;37.0;1.991388589881593;0.1076426264800861;1.883745963401507
Chozas de Canales;45;Toledo;45056;4.0;165.0;4.157687290851066;2.35294117647059;Castilla-La Mancha;4335.0;1890.0;7;70;0.3703703703703703;169.0;8.941798941798941;0.2116402116402116;8.73015873015873
Chucena;21;Huelva;21030;1.0;8.0;4.313293184460584;3.5780910111542807;Andalucía;2242.0;997.0;4;1340;0.4012036108324975;9.0;0.9027081243731192;0.1003009027081243;0.802407221664995
Churriana de la Vega;18;Granada;18062;752.0;153.0;5.0;3.89027769703312;Andalucía;15741.0;6455.0;28;5590;0.4337722695584818;905.0;14.02013942680093;11.649883810999226;2.370255615801704
Ciempozuelos;28;Madrid;28040;1339.0;154.0;7.03125;4.5450017883904;Madrid, Comunidad de;25083.0;9550.0;74;24737;0.774869109947644;1493.0;15.633507853403142;14.020942408376964;1.612565445026178
Cieza;39;Cantabria;39021;0.0;5.0;5.149645717451947;4.11432755322461;Cantabria;17924.5;15736.0;15;29651;0.0953228266395526;5.0;0.0317742755465175;0.0;0.0317742755465175
Cieza;30;Murcia;30019;841.0;60.0;3.42857142857143;3.07071044625096;Murcia, Región de;17924.5;15736.0;15;29651;0.0953228266395526;901.0;5.725724453482461;5.34443314692425;0.3812913065582105
Cifuentes;19;Guadalajara;19086;30.0;37.0;3.99885801294252;3.27594540466966;Castilla-La Mancha;1611.0;2315.0;1;5744;0.0431965442764578;67.0;2.8941684665226783;1.2958963282937366;1.5982721382289418
Cigales;47;Valladolid;47050;195.0;103.0;5.19649100768377;3.86849206349206;Castilla y León;5299.0;2667.0;4;11142;0.149981252343457;298.0;11.173603299587551;7.311586051743532;3.8620172478440193
Cistierna;24;León;24056;52.0;17.0;3.72048364153627;1.17199039288971;Castilla y León;3038.0;2679.0;12;3075;0.4479283314669653;69.0;2.5755879059350506;1.941022769690183;0.6345651362448674
Cistérniga;47;Valladolid;47052;445.0;28.0;5.45460645098326;4.55388953571716;Castilla y León;9109.0;3650.0;0;6566;0.0;473.0;12.95890410958904;12.191780821917808;0.7671232876712328
Ciudad Real;13;Ciudad Real;13034;4420.0;145.0;5.09756329716353;3.76984126984127;Castilla-La Mancha;75104.0;41489.0;112;58212;0.2699510713683145;4565.0;11.002916435681747;10.653426209356695;0.34949022632505
Ciudad Rodrigo;37;Salamanca;37107;400.0;38.0;2.97619047619048;2.31578855361605;Castilla y León;12065.0;9566.0;74;106297;0.7735730712941669;438.0;4.578716286849258;4.18147606104955;0.3972402257997073
Ciutadella de Menorca;7;Balears, Illes;7015;997.0;520.0;6.45161290322581;5.27567040724935;Balears, Illes;30638.0;16381.0;2573;488764;15.70722178133203;1517.0;9.26072889322996;6.086319516513034;3.174409376716928
Coaña;33;Asturias;33018;42.0;36.0;5.44590643274854;3.23476176545933;Asturias, Principado de;3312.0;1682.0;53;880;3.1510107015457787;78.0;4.637336504161712;2.4970273483947683;2.140309155766944
Cobeja;45;Toledo;45051;44.0;17.0;4.66189759036145;4.0;Castilla-La Mancha;2412.0;1202.0;0;30;0.0;61.0;5.074875207986689;3.660565723793677;1.4143094841930115
Cobeña;28;Madrid;28041;221.0;115.0;8.55263157894737;6.77083333333333;Madrid, Comunidad de;7444.0;2590.0;11;1855;0.4247104247104247;336.0;12.972972972972974;8.532818532818533;4.44015444015444
Cobisa;45;Toledo;45052;26.0;44.0;5.68461538461538;4.01582397003745;Castilla-La Mancha;4377.0;2065.0;30;862;1.452784503631961;70.0;3.389830508474576;1.2590799031476998;2.1307506053268765
Cocentaina;3;Alicante;3056;229.0;85.0;3.08219178082192;2.66272189349112;Comunitat Valenciana;11451.0;6429.0;22;9725;0.3421994089282936;314.0;4.88411883652201;3.561984756571784;1.3221340799502257
Codosera, La;6;Badajoz;6037;2.0;17.0;2.962972945965435;2.02205882352941;Extremadura;2049.0;1291.0;16;10172;1.2393493415956622;19.0;1.471727343144849;0.1549186676994577;1.3168086754453912
Cogollos de la Vega;18;Granada;18050;9.0;11.0;4.206384226479411;2.4;Andalucía;2015.0;1194.0;7;575;0.5862646566164154;20.0;1.6750418760469012;0.7537688442211056;0.9212730318257956
Coles;32;Ourense;32026;1.0;39.0;3.0485302148776534;2.89655172413793;Galicia;3125.0;2521.0;17;912;0.6743355811186037;40.0;1.5866719555731852;0.0396667988893296;1.5470051566838556
Colindres;39;Cantabria;39023;336.0;5.0;5.03175057208238;4.11432755322461;Cantabria;8504.0;5113.0;29;1072;0.5671816937218854;341.0;6.669274398591825;6.571484451398396;0.0977899471934285
Collado Mediano;28;Madrid;28046;224.0;173.0;6.88576198445437;5.78947368421053;Madrid, Comunidad de;7348.0;4144.0;28;5300;0.6756756756756757;397.0;9.58011583011583;5.405405405405405;4.174710424710424
Collado Villalba;28;Madrid;28047;4495.0;346.0;8.33416675000833;6.64962832937764;Madrid, Comunidad de;63825.0;27520.0;55;56629;0.1998546511627907;4841.0;17.590843023255815;16.333575581395348;1.257267441860465
Collbató;8;Barcelona;8069;18.0;130.0;6.5528225063804;5.84224317034191;Cataluña;4655.0;2196.0;35;2875;1.5938069216757742;148.0;6.739526411657559;0.819672131147541;5.919854280510018
Colmenar;29;Málaga;29043;3.0;30.0;5.801511378442833;2.49496266445419;Andalucía;3450.0;1725.0;15;5988;0.8695652173913043;33.0;1.9130434782608696;0.1739130434782608;1.7391304347826086
Colmenar Viejo;28;Madrid;28045;2802.0;643.0;7.70381036774479;6.61764705882353;Madrid, Comunidad de;52480.0;19023.0;40;54440;0.21027177627083;3445.0;18.10965673132524;14.729537927771643;3.380118803553593
Colmenar de Oreja;28;Madrid;28043;26.0;134.0;3.84706439393939;3.779622902612;Madrid, Comunidad de;8303.0;4942.0;29;6220;0.5868069607446378;160.0;3.2375556454876566;0.5261027923917442;2.711452853095913
Colmenarejo;28;Madrid;28044;431.0;199.0;7.43243243243243;6.50189393939394;Madrid, Comunidad de;9376.0;3744.0;15;9504;0.4006410256410256;630.0;16.826923076923077;11.511752136752136;5.31517094017094
Colunga;33;Asturias;33019;49.0;51.0;4.92957746478873;4.39189189189189;Asturias, Principado de;3236.0;3212.0;206;10277;6.413449564134496;100.0;3.1133250311332503;1.5255292652552928;1.5877957658779576
Comillas;39;Cantabria;39024;72.0;20.0;5.80719111969112;4.34898479961115;Cantabria;2117.0;2319.0;210;9921;9.055627425614489;92.0;3.967227253126348;3.104786545924968;0.8624407072013799
Conil de la Frontera;11;Cádiz;11014;249.0;107.0;6.1108320776829;5.18867924528302;Andalucía;23182.0;15058.0;3883;118568;25.78695709921636;356.0;2.3641917917386106;1.6536060565812192;0.7105857351573914
Consell;7;Balears, Illes;7016;167.0;69.0;5.49828178694158;4.74978557262472;Balears, Illes;4243.0;2006.0;50;5389;2.4925224327018944;236.0;11.764705882352942;8.325024925224326;3.439680957128614
Constantina;41;Sevilla;41033;28.0;30.0;3.50643486114247;2.45282146160962;Andalucía;5864.0;3721.0;48;9571;1.289975812953507;58.0;1.5587207739854878;0.7524858908895459;0.8062348830959419
Constantí;43;Tarragona;43047;198.0;20.0;4.69681571815718;2.86216616716617;Cataluña;6724.0;2653.0;4;58400;0.1507727101394647;218.0;8.21711270260083;7.463249151903505;0.7538635506973238
Consuegra;45;Toledo;45053;94.0;38.0;2.61543327008223;2.40054222005605;Castilla-La Mancha;9942.0;5799.0;33;3389;0.5690636316606311;132.0;2.2762545266425245;1.6209691326090705;0.6552853940334541
Corbera;46;Valencia/Valéncia;46098;40.0;18.0;2.56067961165049;2.81885070722781;Comunitat Valenciana;3088.0;2139.0;17;2304;0.7947639083683965;58.0;2.711547452080412;1.8700327255726976;0.8415147265077139
Corbera de Llobregat;8;Barcelona;8072;579.0;278.0;7.28155339805825;6.20731042793795;Cataluña;15017.0;6772.0;25;19453;0.3691671588895452;857.0;12.655050206733607;8.549911399881866;4.105138806851742
Corgo, O;27;Lugo;27014;0.0;26.0;2.8216744173774844;2.45007959579181;Galicia;3440.0;2100.0;9;2740;0.4285714285714285;26.0;1.238095238095238;0.0;1.238095238095238
Coria;10;Cáceres;10067;305.0;39.0;3.20701538180656;2.77777777777778;Extremadura;12330.0;7719.0;6;12953;0.0777302759424796;344.0;4.456535820702164;3.951289027076046;0.5052467936261174
Coria del Río;41;Sevilla;41034;332.0;352.0;4.95745044429255;4.07122457306056;Andalucía;30774.0;13078.0;16;16884;0.1223428658816332;684.0;5.230157516439823;2.5386144670438906;2.691543049395932
Coristanco;15;Coruña, A;15029;9.0;25.0;3.66003568353889;2.26122203341829;Galicia;5878.0;3156.0;5;2468;0.1584283903675538;34.0;1.0773130544993663;0.2851711026615969;0.7921419518377694
Cornellà de Llobregat;8;Barcelona;8073;5491.0;127.0;10.2040816326531;7.79569892473118;Cataluña;89300.0;37340.0;152;82261;0.4070701660417782;5618.0;15.045527584359936;14.70540974825924;0.3401178361006963
Cornellà del Terri;17;Girona;17056;47.0;44.0;5.4775;3.45845619137006;Cataluña;2422.0;922.0;40;10622;4.338394793926248;91.0;9.869848156182211;5.097613882863341;4.772234273318872
Coronada, La;6;Badajoz;6039;1.0;5.0;2.962972945965435;2.3957267070095725;Extremadura;2175.0;1407.0;0;1759;0.0;6.0;0.4264392324093816;0.0710732054015636;0.355366027007818
Coronil, El;41;Sevilla;41036;2.0;7.0;4.939061551348131;3.524814792568226;Andalucía;4699.0;2420.0;6;793;0.2479338842975206;9.0;0.371900826446281;0.0826446280991735;0.2892561983471074
Corral de Almaguer;45;Toledo;45054;37.0;29.0;3.125;2.54125412541254;Castilla-La Mancha;5068.0;3642.0;5;11513;0.1372872048325096;66.0;1.812191103789127;1.0159253157605712;0.7962657880285557
Corrales de Buelna, Los;39;Cantabria;39025;256.0;56.0;4.68218537414966;3.95816415273012;Cantabria;10703.0;5817.0;27;9920;0.4641567818463125;312.0;5.363589479112945;4.400893931579852;0.9626955475330926
Corrales, Los;41;Sevilla;41037;0.0;12.0;4.939061551348131;1.85621396147712;Andalucía;3985.0;1869.0;1;698;0.0535045478865703;12.0;0.6420545746388443;0.0;0.6420545746388443
Cortegana;21;Huelva;21025;22.0;45.0;3.25550458715596;2.98202614379085;Andalucía;4635.0;2860.0;10;4197;0.3496503496503496;67.0;2.3426573426573425;0.7692307692307693;1.573426573426573
Cortes de Baza;18;Granada;18053;0.0;5.0;4.206384226479411;3.2762375705642435;Andalucía;1870.0;1202.0;12;2528;0.9983361064891848;5.0;0.415973377703827;0.0;0.415973377703827
