;Total_vc;Total_vu;Alquiler_mes_vc_m2;Alquiler_mes_vu_m2;Comunidad_autonoma;Poblacion;Inmuebles_totales;Viviendas_turisticas;Turistas;Porcentaje_viviendas_turisticas;Total_casas_alquiler;Porcentaje_viviendas_alquiler;Porcentaje_vc_alquiler;Porcentaje_vu_alquiler
Tui;445.0;161.0;3.91304347826087;3.11965811965812;12.0;17398.0;7840.0;119;136034;1.5178571428571428;606.0;7.729591836734694;5.676020408163265;2.0535714285714284
Tuineje;412.0;333.0;6.33802816901408;5.34825870646766;4.0;15549.0;6649.0;536;127835;8.061362610918936;745.0;11.204692434952625;6.196420514363062;5.0082719205895625
Turre;71.0;28.0;3.93318965517241;2.90359057404512;0.0;3892.0;3378.0;87;13974;2.575488454706927;99.0;2.930728241563055;2.101835405565424;0.8288928359976317
Turís;137.0;91.0;3.41530054644809;3.37078651685393;10.0;6910.0;3820.0;58;12270;1.5183246073298429;228.0;5.968586387434555;3.586387434554974;2.3821989528795813
Tàrrega;1126.0;122.0;4.54545454545455;2.83464059196617;8.0;17649.0;9181.0;49;63720;0.5337109247358676;1248.0;13.593290491231892;12.264459209236469;1.328831281995425
Tías;841.0;390.0;8.41584158415842;6.08932102834542;4.0;20801.0;13635.0;3667;917693;26.89402273560689;1231.0;9.028236156949028;6.167950128346168;2.8602860286028604
Tíjola;15.0;6.0;3.03492239467849;3.2061202807089906;0.0;3528.0;2384.0;3;382;0.1258389261744966;21.0;0.8808724832214765;0.6291946308724832;0.2516778523489933
Ubrique;142.0;43.0;3.87460421443389;3.12671326754386;0.0;16482.0;8959.0;30;8510;0.3348588012054916;185.0;2.0649626074338654;1.584998325705994;0.4799642817278714
Uceda;36.0;93.0;5.24902553019346;4.95495495495495;7.0;2933.0;2596.0;17;3906;0.6548536209553159;129.0;4.969183359013868;1.386748844375963;3.5824345146379044
Ugena;51.0;115.0;6.25;4.29447852760736;7.0;5626.0;2456.0;1;1884;0.0407166123778501;166.0;6.758957654723127;2.076547231270358;4.682410423452769
Ugíjar;11.0;10.0;2.46575342465753;2.00862657481537;0.0;2550.0;1880.0;10;5883;0.5319148936170213;21.0;1.1170212765957446;0.5851063829787234;0.5319148936170213
Ulldecona;150.0;26.0;3.28280350601779;2.40116752812405;8.0;6317.0;4049.0;19;21673;0.4692516670782909;176.0;4.346752284514695;3.704618424302297;0.6421338602123982
Umbrete;19.0;163.0;4.50617283950617;4.28571428571429;0.0;9086.0;3412.0;13;1388;0.3810082063305979;182.0;5.3341148886283705;0.5568581477139508;4.77725674091442
Unión, La;437.0;129.0;4.31102362204724;3.77358490566038;15.0;20536.0;8377.0;47;4729;0.5610600453623016;566.0;6.756595439894951;5.216664677092037;1.5399307628029126
Urda;5.0;13.0;4.157687290851066;1.64285714285714;7.0;2420.0;1907.0;1;1292;0.0524383848977451;18.0;0.9438909281594128;0.2621919244887257;0.6816990036706869
