;Total_vu;Alquiler_mes_vc_m2;Alquiler_mes_vu_m2;Comunidad_autonoma;Turistas;Porcentaje_vc_alquiler;Porcentaje_vu_alquiler
Alcora, l';45.0;2.83174031777557;2.7027027027027;10.0;14199;4.174311926605505;0.6880733944954128
Alcorcón;64.0;9.09090909090909;8.23968273696546;13.0;126998;11.485723053746042;0.0892745051542077
Alcorisa;21.0;2.99546204620462;2.33766233766234;1.0;1511;3.183023872679045;0.9283819628647216
Alcover;55.0;4.68854103002893;3.81679389312977;8.0;9091;4.17981072555205;2.168769716088328
Alcoy/Alcoi;63.0;3.73784574719154;3.55159176029963;10.0;48872;6.299083769633508;0.1717931937172775
Alcuéscar;10.0;2.940886175242486;2.22318209134615;11.0;1770;0.3287671232876712;0.547945205479452
Alcàsser;43.0;3.98058252427184;3.47222222222222;10.0;9935;7.30299667036626;0.9544950055493896
Alcázar de San Juan;208.0;4.74511503309171;3.38983050847458;7.0;22150;6.457220112019571;1.339084529710938
Alcázares, Los;431.0;4.92957746478873;4.67289719626168;15.0;76703;2.9935313282024647;2.035034704188111
Alcúdia;333.0;6.82257892263659;5.40540540540541;3.0;701950;9.752586594691858;2.9959514170040484
Alcúdia de Crespins, l';16.0;2.85714285714286;3.10369045562721;10.0;1301;3.0269472129937247;0.5906238464378
Alcúdia, l';44.0;3.4;3.03310328204293;10.0;11306;5.715850986121256;0.8035062089116143
Aldaia;62.0;4.83870967741935;4.08888269713012;10.0;38821;9.716656120368418;0.4359136609716656
Aldea de San Nicolás, La;51.0;5.60235611098372;2.59259259259259;4.0;11283;1.100715465052284;1.4034122179416622
Aldea del Fresno;42.0;5.48085387323944;5.07731958762887;13.0;3154;3.4222445898339204;2.1137393054856566
Aldea, L';37.0;3.97058823529412;3.15802845528455;8.0;26358;6.7124735729386895;1.9556025369978856
Aldeamayor de San Martín;194.0;4.556225863716588;4.19270541549953;6.0;3682;0.0687757909215956;6.671251719394773
Aldeanueva de Ebro;35.0;3.50608595847764;2.66666666666667;16.0;2019;0.6765899864682002;2.3680649526387008
Alella;269.0;11.2878337041157;8.67263888888889;8.0;18038;6.816961889425658;7.219538378958669
Alfacar;101.0;3.78787878787879;3.07017543859649;0.0;6145;2.83995990644838;3.374540594721016
Alfafar;52.0;4.65116279069767;4.70861486486486;10.0;22621;8.772291516338521;0.5360272136893104
Alfajarín;53.0;4.320547593041594;3.47826086956522;1.0;30130;0.4792332268370607;4.233226837060703
Alfara del Patriarca;14.0;6.4595589993782;8.15247237904611;10.0;4105;15.225464190981432;0.7427055702917772
Alfaro;32.0;3.87205387205387;2.62289068231842;16.0;40499;4.559836218127676;0.595570444816676
