;Total_vu;Alquiler_mes_vc_m2;Alquiler_mes_vu_m2;Comunidad_autonoma;Turistas;Porcentaje_vc_alquiler;Porcentaje_vu_alquiler
Castilblanco de los Arroyos;43.0;4.939061551348131;2.62212643678161;0.0;4365;0.0590318772136954;1.269185360094451
Castilleja de la Cuesta;162.0;5.6969696969697;5.17608758931412;0.0;6808;5.767562879444927;2.341717259323504
Castillo de Locubín;9.0;3.146629172627617;2.527683457804128;0.0;2166;0.075187969924812;0.3383458646616541
Castril;5.0;4.206384226479411;3.2762375705642435;0.0;1908;0.0;0.3253090435914118
Castrillón;101.0;5.55555555555556;4.41176470588235;2.0;18450;7.092252609126229;0.76940656661842
Castro de Rei;43.0;3.07316543638732;2.01342281879195;12.0;4095;2.7563842723956222;1.7430077016619376
Castro del Río;28.0;2.90909090909091;2.0389874353289;0.0;3712;0.7014809041309431;0.7274616783580151
Castro-Urdiales;87.0;7.17948717948718;5.45977011494253;5.0;67583;4.671226488419089;0.3381004197108658
Castropol;36.0;4.41176470588235;2.56093422946102;2.0;6026;1.6367476240760297;1.9007391763463568
Castroverde;15.0;2.8216744173774844;1.34615384615385;12.0;4615;0.3669724770642202;0.9174311926605504
Castuera;29.0;2.31404100101579;2.27272727272727;11.0;3570;0.8830022075055187;0.7113073338238901
Catadau;23.0;3.10782465016336;3.17460317460317;10.0;3800;2.6704146170063248;1.6163035839775124
Catarroja;79.0;4.66101694915254;4.20168067226891;10.0;27775;10.012706480304956;0.6692079627276578
Catllar, El;58.0;4.6875;5.25254668930391;8.0;4721;1.1919441019317716;2.383888203863543
Catoira;16.0;3.67557986521055;1.86572199730094;12.0;3405;1.60427807486631;1.0695187165775402
Catral;62.0;3.7037037037037;4.15579710144928;10.0;13367;1.7397049108125964;1.3653380312706451
Caudete;37.0;2.73504273504273;2.56849315068493;7.0;29102;3.7274835027644015;0.6598894239343678
Cazalla de la Sierra;28.0;4.08496732026144;3.00213675213675;0.0;3093;0.4369747899159664;0.9411764705882352
Cazorla;18.0;3.46148917083173;2.98113546872634;0.0;14367;2.541322314049587;0.371900826446281
Cañete de las Torres;6.0;3.3556591234157507;2.7032598275321136;0.0;583;0.1803968731208659;0.3607937462417318
Cañiza, A;29.0;3.73214285714286;3.09112466124661;12.0;59369;3.250327653997379;0.7601572739187418
Cebolla;10.0;3.2258064516129;2.76984126984127;7.0;496;0.8421052631578947;0.5263157894736842
Cebreros;46.0;3.33333333333333;2.66487920230459;6.0;3522;1.6619629978049546;1.4424584509250549
Ceclavín;7.0;2.940886175242486;2.4188792491930404;11.0;3922;0.1288659793814432;0.4510309278350515
Cedeira;33.0;3.39622641509434;2.20007936507937;12.0;4813;2.9034556465977914;0.5878161738510865
Cedillo del Condado;55.0;4.8780487804878;4.16666666666667;7.0;2715;9.513917739925215;2.285002077274616
Cee;23.0;3.18665377176015;2.22222222222222;12.0;11627;4.5355587808418;0.4172714078374456
Cehegín;52.0;3.1373031496063;2.40469738030714;15.0;10631;1.4726070136028953;0.6489454636216149
Celanova;23.0;2.94871794871795;2.40909090909091;12.0;1361;3.1560142913854703;0.4565303691941246
Cella;22.0;3.34328304625334;2.39617486338798;1.0;4105;2.5568181818181817;1.25
Cellera de Ter, La;45.0;4.63563829787234;3.10644518538544;8.0;789;5.65262076053443;4.624871531346352
Celrà;71.0;6.0906862745098;3.06349206349206;8.0;27805;16.249386352479135;3.4855179185076093
Cenes de la Vega;28.0;5.0;4.37284901960784;0.0;3483;8.039725703476;0.6620950579333176
Cenicero;7.0;3.75672043010753;3.336079012169648;16.0;3206;2.149178255372945;0.4424778761061947
Cenicientos;31.0;3.52990033222591;2.86666666666667;13.0;2212;0.6329113924050633;1.6350210970464134
Centelles;133.0;6.17283950617284;4.08163265306122;8.0;6913;12.388617418798503;3.8229376257545273
Cerceda;47.0;3.13083333333333;2.91666666666667;12.0;6689;1.9500513171399247;1.6079370509750257
Cercedilla;163.0;6.77083333333333;5.34784013605442;13.0;4233;6.114750843756204;3.236053206273576
Cerdanyola del Vallès;356.0;9.11037542357767;7.85829457147326;8.0;104268;11.89429027361538;1.3855914062195929
Cerro de Andévalo, El;7.0;4.313293184460584;3.5780910111542807;0.0;3206;0.1267427122940431;0.4435994930291508
Cervelló;185.0;7.8859553123575;6.60714285714286;8.0;35218;6.068204613841525;4.638916750250752
Cervera;98.0;3.68421052631579;3.39394438045088;8.0;17321;9.211601307189545;2.001633986928105
Cervera de Pisuerga;15.0;3.43925767330379;3.2258064516129;6.0;5577;5.0;0.7352941176470589
Cervera del Río Alhama;10.0;3.91989174509599;3.30297334244703;16.0;12782;0.6535947712418301;0.4084967320261438
Cervo;29.0;3.03030303030303;1.93452380952381;12.0;7972;2.677058624195188;0.9827177228058286
Ceuta;339.0;8.75;8.10810810810811;9.0;290625;7.485062466051059;1.2275936990765888
Ceutí;59.0;3.56758333333333;3.01587301587302;15.0;7002;3.6037810161480897;1.1618747538400944
Chantada;27.0;2.8388942617666;2.80373831775701;12.0;4740;2.8584744446170576;0.4194500543731552
Chauchina;46.0;3.53982866641094;2.91538038464268;0.0;2701;0.8451786400307337;1.7671917018824432
Chella;22.0;2.6123595505618;1.71361502347418;10.0;1360;1.6066212268743914;1.071080817916261
Cheste;64.0;3.73831775700935;3.03061224489796;10.0;19535;6.081458062116422;1.1902547889157522
Chiclana de la Frontera;889.0;5.79245283018868;5.05050505050505;0.0;190259;2.124635827471044;2.105687012956252
Chilches/Xilxes;21.0;4.63692307692308;2.38095238095238;10.0;5296;3.055705786911844;0.5678745267712277
Chillón;3.0;3.4787665376387884;2.543070272119516;7.0;1246;0.2084781097984711;0.2084781097984711
Chiloeches;94.0;6.15132359924027;4.66988727858293;7.0;14649;5.6;5.371428571428571
Chinchilla de Monte-Aragón;52.0;4.44659817794146;3.30311674343142;7.0;11139;6.379821958456973;1.9287833827893173
Chinchón;68.0;5.55555555555556;4.3373745819398;13.0;9393;4.325699745547074;2.162849872773537
Chipiona;218.0;6.33333333333333;6.01744538728168;0.0;27898;1.1814397649363368;1.3344760039177277
Chiva;327.0;3.69395711500975;5.25173611111111;10.0;76899;3.2699955810870525;2.889969067609368
Chozas de Abajo;35.0;3.5678083635732585;3.36134453781513;6.0;2729;0.1076426264800861;1.883745963401507
Chozas de Canales;165.0;4.157687290851066;2.35294117647059;7.0;70;0.2116402116402116;8.73015873015873
Chucena;8.0;4.313293184460584;3.5780910111542807;0.0;1340;0.1003009027081243;0.802407221664995
Churriana de la Vega;153.0;5.0;3.89027769703312;0.0;5590;11.649883810999226;2.370255615801704
Ciempozuelos;154.0;7.03125;4.5450017883904;13.0;24737;14.020942408376964;1.612565445026178
Cieza;5.0;5.149645717451947;4.11432755322461;5.0;29651;0.0;0.0317742755465175
Cieza;60.0;3.42857142857143;3.07071044625096;15.0;29651;5.34443314692425;0.3812913065582105
Cifuentes;37.0;3.99885801294252;3.27594540466966;7.0;5744;1.2958963282937366;1.5982721382289418
Cigales;103.0;5.19649100768377;3.86849206349206;6.0;11142;7.311586051743532;3.8620172478440193
Cistierna;17.0;3.72048364153627;1.17199039288971;6.0;3075;1.941022769690183;0.6345651362448674
Cistérniga;28.0;5.45460645098326;4.55388953571716;6.0;6566;12.191780821917808;0.7671232876712328
Ciudad Real;145.0;5.09756329716353;3.76984126984127;7.0;58212;10.653426209356695;0.34949022632505
Ciudad Rodrigo;38.0;2.97619047619048;2.31578855361605;6.0;106297;4.18147606104955;0.3972402257997073
Ciutadella de Menorca;520.0;6.45161290322581;5.27567040724935;3.0;488764;6.086319516513034;3.174409376716928
Coaña;36.0;5.44590643274854;3.23476176545933;2.0;880;2.4970273483947683;2.140309155766944
Cobeja;17.0;4.66189759036145;4.0;7.0;30;3.660565723793677;1.4143094841930115
Cobeña;115.0;8.55263157894737;6.77083333333333;13.0;1855;8.532818532818533;4.44015444015444
Cobisa;44.0;5.68461538461538;4.01582397003745;7.0;862;1.2590799031476998;2.1307506053268765
Cocentaina;85.0;3.08219178082192;2.66272189349112;10.0;9725;3.561984756571784;1.3221340799502257
Codosera, La;17.0;2.962972945965435;2.02205882352941;11.0;10172;0.1549186676994577;1.3168086754453912
Cogollos de la Vega;11.0;4.206384226479411;2.4;0.0;575;0.7537688442211056;0.9212730318257956
Coles;39.0;3.0485302148776534;2.89655172413793;12.0;912;0.0396667988893296;1.5470051566838556
Colindres;5.0;5.03175057208238;4.11432755322461;5.0;1072;6.571484451398396;0.0977899471934285
Collado Mediano;173.0;6.88576198445437;5.78947368421053;13.0;5300;5.405405405405405;4.174710424710424
Collado Villalba;346.0;8.33416675000833;6.64962832937764;13.0;56629;16.333575581395348;1.257267441860465
Collbató;130.0;6.5528225063804;5.84224317034191;8.0;2875;0.819672131147541;5.919854280510018
Colmenar;30.0;5.801511378442833;2.49496266445419;0.0;5988;0.1739130434782608;1.7391304347826086
Colmenar Viejo;643.0;7.70381036774479;6.61764705882353;13.0;54440;14.729537927771643;3.380118803553593
Colmenar de Oreja;134.0;3.84706439393939;3.779622902612;13.0;6220;0.5261027923917442;2.711452853095913
Colmenarejo;199.0;7.43243243243243;6.50189393939394;13.0;9504;11.511752136752136;5.31517094017094
Colunga;51.0;4.92957746478873;4.39189189189189;2.0;10277;1.5255292652552928;1.5877957658779576
Comillas;20.0;5.80719111969112;4.34898479961115;5.0;9921;3.104786545924968;0.8624407072013799
Conil de la Frontera;107.0;6.1108320776829;5.18867924528302;0.0;118568;1.6536060565812192;0.7105857351573914
Consell;69.0;5.49828178694158;4.74978557262472;3.0;5389;8.325024925224326;3.439680957128614
Constantina;30.0;3.50643486114247;2.45282146160962;0.0;9571;0.7524858908895459;0.8062348830959419
Constantí;20.0;4.69681571815718;2.86216616716617;8.0;58400;7.463249151903505;0.7538635506973238
Consuegra;38.0;2.61543327008223;2.40054222005605;7.0;3389;1.6209691326090705;0.6552853940334541
Corbera;18.0;2.56067961165049;2.81885070722781;10.0;2304;1.8700327255726976;0.8415147265077139
Corbera de Llobregat;278.0;7.28155339805825;6.20731042793795;8.0;19453;8.549911399881866;4.105138806851742
Corgo, O;26.0;2.8216744173774844;2.45007959579181;12.0;2740;0.0;1.238095238095238
Coria;39.0;3.20701538180656;2.77777777777778;11.0;12953;3.951289027076046;0.5052467936261174
Coria del Río;352.0;4.95745044429255;4.07122457306056;0.0;16884;2.5386144670438906;2.691543049395932
Coristanco;25.0;3.66003568353889;2.26122203341829;12.0;2468;0.2851711026615969;0.7921419518377694
Cornellà de Llobregat;127.0;10.2040816326531;7.79569892473118;8.0;82261;14.70540974825924;0.3401178361006963
Cornellà del Terri;44.0;5.4775;3.45845619137006;8.0;10622;5.097613882863341;4.772234273318872
Coronada, La;5.0;2.962972945965435;2.3957267070095725;11.0;1759;0.0710732054015636;0.355366027007818
Coronil, El;7.0;4.939061551348131;3.524814792568226;0.0;793;0.0826446280991735;0.2892561983471074
Corral de Almaguer;29.0;3.125;2.54125412541254;7.0;11513;1.0159253157605712;0.7962657880285557
Corrales de Buelna, Los;56.0;4.68218537414966;3.95816415273012;5.0;9920;4.400893931579852;0.9626955475330926
Corrales, Los;12.0;4.939061551348131;1.85621396147712;0.0;698;0.0;0.6420545746388443
Cortegana;45.0;3.25550458715596;2.98202614379085;0.0;4197;0.7692307692307693;1.573426573426573
Cortes de Baza;5.0;4.206384226479411;3.2762375705642435;0.0;2528;0.0;0.415973377703827
Cortes de la Frontera;20.0;2.58449435355208;1.50129906607682;0.0;3814;0.4182350480970305;0.8364700961940611
Coruña, A;290.0;6.11731843575419;3.92340159622171;12.0;257432;15.230556450746588;0.1947040498442367
Corvera de Asturias;97.0;4.62509287589432;4.375;2.0;8194;5.385054192812322;1.1066742726754135
Corvera de Toranzo;13.0;3.98720349563046;3.03030303030303;5.0;1043;2.963430012610341;0.819672131147541
Coslada;101.0;8.69306418219462;6.20689655172414;13.0;84850;11.241232271421069;0.3120847881840373
Cospeito;38.0;1.89033679183136;1.66489900425429;12.0;1925;0.4536616979909267;1.2313674659753726
Covelo;30.0;4.37078934137758;3.31024303824292;12.0;9812;0.5485463521667581;1.6456390565002743
Cox;95.0;3.12394530688603;2.96610169491525;10.0;7865;1.8898664059954384;3.0954708374063213
Coín;169.0;4.94040017028523;5.31258482991156;0.0;48271;1.9958576539258144;1.5910374694031255
Crecente;12.0;4.185609799188884;3.1170208572139;12.0;12910;0.0667556742323097;0.8010680907877169
Creixell;138.0;6.71641791044776;5.59569020814848;8.0;24683;4.049689440993789;3.4285714285714284
Crevillent;75.0;3.15142942227516;3.23529411764706;10.0;51862;2.330700504985109;0.4855626052052311
Cuarte de Huerva;75.0;6.57894736842105;4.46007530120482;1.0;3833;17.953420135705116;1.3753896937465615
Cubas de la Sagra;113.0;5.19765312645596;4.53433835845896;13.0;5421;0.800711743772242;5.026690391459074
Cubelles;200.0;8.13321596244131;6.86425469691599;8.0;25021;9.75883915798079;2.0437359493153484
Cudillero;74.0;4.26355220704251;3.28530829556083;2.0;15008;1.1150758251561106;1.6503122212310437
Cuenca;157.0;4.76190476190476;4.90196078431372;7.0;73441;8.616297442842862;0.5062719680113508
Cuervo de Sevilla, El;30.0;5.1849376114082;2.5487012987013;0.0;2030;0.3346346904629113;0.8365867261572784
Cuevas del Almanzora;87.0;3.64705882352941;2.75306908031627;0.0;78460;2.259572573463936;0.9683882457702584
Cullera;148.0;4.9231220657277;4.43626045400239;10.0;80208;3.1677719768590378;0.5220826866092846
Culleredo;212.0;5.33980582524272;3.73883300279714;12.0;24794;12.426743966223455;1.335937992312055
Cunit;234.0;7.01576576576577;5.98165137614679;8.0;23311;6.712403523816949;1.8242769158805645
Cuntis;20.0;3.58499214248297;2.30469401041667;12.0;6900;1.2761020881670533;0.7733952049497294
Curtis;47.0;2.7997186212441;2.60869565217391;12.0;1967;3.9348710990502034;1.5943012211668928
Cuéllar;48.0;3.94716350081699;2.8335340559347;6.0;12896;4.8979591836734695;0.7836734693877551
Càlig;18.0;3.02122114668652;2.49177246909455;10.0;1663;2.348336594911937;1.1741682974559686
Cànoves i Samalús;110.0;6.795169565780164;6.43512273793166;8.0;1428;0.0;7.862759113652609
Cáceres;463.0;4.64875265172752;3.85454801464376;11.0;178113;9.653206650831354;0.8798099762470308
Cádiz;18.0;8.21878444339474;5.30068943643162;0.0;250190;8.057797448581098;0.0292892475917729
Cájar;101.0;5.0;3.92717948717949;0.0;330;4.6292327475353625;4.329189884269181
Cártama;232.0;6.46857277882798;4.9677589156468;0.0;28673;2.284263959390863;2.030456852791878
Cómpeta;30.0;4.91803278688525;3.32364228773069;0.0;30291;0.3797838153666374;0.8764241893076249
Córdoba;757.0;6.42184942716858;4.69409282700422;0.0;303916;6.837219972842093;0.4693729499810887
Cúllar;14.0;2.46268656716418;2.00047455278273;0.0;7663;0.4436229205175601;0.5175600739371534
Cúllar Vega;97.0;4.7080136402387;3.94736842105263;0.0;866;6.455820019563091;3.1626997065536355
Daganzo de Arriba;150.0;7.98493592525095;6.52613641789619;13.0;15871;6.573705179282869;4.2686397268070575
Daimiel;58.0;3.62223612849395;2.70306094292021;7.0;24012;2.4495532577050496;0.582270856339725
Daimús;37.0;6.15530303030303;4.62962962962963;10.0;10010;1.8565400843881856;0.6244725738396625
Dalías;10.0;4.11764705882353;2.08365671183989;0.0;3591;0.7122507122507122;0.4748338081671415
Daroca;10.0;4.32022625900177;2.58313809709749;1.0;146;2.668759811616954;0.5232862375719518
Deifontes;8.0;4.206384226479411;3.2762375705642435;0.0;879;0.3115264797507788;0.6230529595015576
Deltebre;114.0;4.16666666666667;3.53083528493365;8.0;36835;4.235440672687636;1.7751479289940828
Dodro;9.0;3.66003568353889;2.581355082055861;12.0;2265;0.0947867298578199;0.8530805687203792
Dolores;31.0;3.125;3.6144578313253;10.0;12167;1.5662330767188744;0.8229360233607645
Don Benito;98.0;3.6886961722488;2.86346477751223;11.0;31153;4.890577344962277;0.5243726256086468
Dos Hermanas;654.0;6.32075471698113;5.28523405268809;0.0;109256;5.245704574188066;1.3554685071193184
Dos Torres;6.0;3.3556591234157507;2.7032598275321136;0.0;1795;0.2424242424242424;0.3636363636363636
Dosbarrios;22.0;4.25129194174517;2.72167487684729;7.0;538;0.9015777610818934;1.6528925619834711
Dosrius;158.0;7.69230769230769;6.58418842845516;8.0;10039;3.799731783638802;7.0630308448815375
Dueñas;29.0;3.95234234234234;3.49090909090909;6.0;68384;2.4479804161566707;1.7747858017135862
Dumbría;7.0;3.66003568353889;2.581355082055861;12.0;4925;0.0;0.6499535747446611
Dénia;526.0;5.49450549450549;6.01677069120232;10.0;379384;5.154430151614139;1.1849782603798238
Dúrcal;74.0;2.81491263713937;2.35965780542986;0.0;4083;1.7684887459807077;1.9828510182207928
Eivissa;362.0;10.8868965517241;10.3299856527977;3.0;695637;19.01831225221824;1.3668114026807627
Ejea de los Caballeros;107.0;4.16666666666667;2.99479166666667;1.0;19169;6.410256410256411;1.162538026944807
Ejido, El;320.0;4.52068489009803;3.28559358417201;0.0;194110;4.518745775050699;0.8319900161198066
Elche de la Sierra;8.0;2.32150875617423;2.441288893370269;7.0;6606;0.9427609427609428;0.2693602693602693
Elche/Elx;581.0;4.52401383894519;3.85287118071549;10.0;508651;5.876465187072438;0.4806061759134412
Elda;72.0;3.67966862745098;3.27503766678126;10.0;19719;3.0511260891007725;0.2367253000164392
Eliana, l';341.0;5.96065254444313;7.14285714285714;10.0;16447;6.153134397409207;3.944020356234097
Enguera;41.0;3.05144557823129;2.63157894736842;10.0;11252;2.419067947349697;1.4585556741373176
Entrambasaguas;30.0;5.2530609512682;3.56086221470837;5.0;16506;13.081395348837209;1.2458471760797345
Escacena del Campo;7.0;4.313293184460584;3.5780910111542807;0.0;305;0.8342022940563086;0.7299270072992701
Escala, L';249.0;7.02289491236976;6.44444444444444;8.0;338141;2.071361753307497;1.6637712147534411
Escalona;77.0;3.46893939393939;3.03030303030303;7.0;1440;0.2148227712137486;1.6541353383458646
Escorial, El;152.0;7.61469265367316;6.20639534883721;13.0;21382;9.543271686931645;1.5530806171451923
Esparreguera;324.0;7.28869047619048;7.41530237967436;8.0;22596;9.216677797920044;3.091308081289953
Espartinas;342.0;7.6271186440678;4.96367465122401;0.0;10570;0.6379876048122494;6.234050309879693
Espejo;4.0;3.3556591234157507;2.7032598275321136;0.0;468;0.2009040683073832;0.2009040683073832
Espera;7.0;5.012413738285534;4.467965812879639;0.0;124;0.2098635886673662;0.3672612801678909
Espiel;9.0;3.3556591234157507;2.7032598275321136;0.0;8540;0.230017251293847;0.5175388154111559
Espinar, El;143.0;4.64731347084288;4.35090702947846;6.0;38053;3.457035564391429;1.5794124144024742
Espluga de Francolí, L';32.0;4.5902105937963;3.125;8.0;4380;4.3312101910828025;1.358811040339703
Esplugues de Llobregat;98.0;11.4754098360656;12.1681346600715;8.0;48129;12.63018274710159;0.4814305364511692
Esporles;220.0;7.70388459791004;5.95325157515752;3.0;22791;3.100088573959256;9.74313551815766
Esquivias;97.0;4.34694600213705;3.83561643835616;7.0;2259;5.071315372424722;3.84310618066561
Estepa;34.0;3.44636015325671;2.44111340887691;0.0;11318;1.2204662807072446;0.5319981223595681
Estepona;430.0;6.73833276000459;6.41613737944013;0.0;658664;5.184591705496637;0.9066183136899364
Estrada, A;66.0;3.18022440392707;2.36074270557029;12.0;22049;3.6568924839905623;0.5561172901921132
Ezcaray;3.0;5.20833333333333;3.336079012169648;16.0;5908;1.1441647597254003;0.0624089868941127
Fabero;23.0;2.81043517885623;2.64900662251656;6.0;1803;1.532258064516129;0.9274193548387096
Falset;36.0;4.58507499385296;4.33823381010881;8.0;858;4.782146652497343;1.9128586609989373
Fasnia;28.0;5.40639269406393;4.06038838883722;4.0;3495;0.8690928843020098;1.520912547528517
Faura;14.0;3.69306680161943;3.65062557811207;10.0;183;5.523101433882103;0.7434944237918215
Favara;24.0;3.12954065121194;3.48480078507754;10.0;614;3.37892196299276;1.9308125502815767
Felanitx;606.0;5.12048192771084;3.94985929009065;3.0;323702;5.338408690000929;5.626218549809674
Fene;62.0;3.59438860374489;2.5;12.0;10232;4.284446697933832;0.7859044238813537
Ferreries;13.0;4.76190476190476;3.76712328767123;3.0;33495;6.888986397542782;0.5704256252742431
Ferrol;252.0;4.03225806451613;2.5845787713633;12.0;57193;7.190445419906861;0.5615098375632256
Figueres;301.0;5.51880266052803;3.7292817679558;8.0;209017;15.75176860392227;1.3477209635533267
Fines;11.0;3.1578947368421;2.31481481481481;0.0;3059;1.2667660208643816;0.819672131147541
Finestrat;218.0;6.56816220880069;5.25254668930391;10.0;73538;7.740805604203152;3.817863397548161
Firgas;77.0;4.35730468689795;4.52830188679245;4.0;1541;0.9417304296645084;2.266038846380224
Fisterra;13.0;3.75;1.93965517241379;12.0;9631;1.3723459347488347;0.3366131538063179
Fiñana;6.0;3.995843624895013;3.2061202807089906;0.0;1062;0.3250975292587776;0.3901170351105331
Flix;23.0;3.49970956767073;3.65736628052637;8.0;16164;2.628336755646817;0.944558521560575
Foios;38.0;4.83644532398198;3.91161616161616;10.0;1615;8.463611859838275;1.0242587601078168
Folgueroles;46.0;5.92282784673503;3.87836729112539;8.0;5136;5.133689839572193;4.919786096256685
Fondó de les Neus, el/Hondón de las Nieves;20.0;3.60738422072183;5.3968253968254;10.0;9960;0.4940711462450592;0.9881422924901184
Fonsagrada, A;13.0;2.88428502714217;1.65876777251185;12.0;2045;1.6230539913878768;0.4306061609804571
Font d'En Carròs, la;18.0;2.85714285714286;3.11207876797549;10.0;2635;2.9535864978902957;0.8438818565400844
Font de la Figuera, la;14.0;2.12318728212526;1.64481409001957;10.0;17418;1.5616285554935865;0.7808142777467931
Forcarei;13.0;2.25806451612903;1.43736145221079;12.0;4231;0.4956157072054899;0.4956157072054899
Formentera;325.0;12.4374829931973;8.27067669172932;3.0;475832;3.663519797097365;4.579399746371706
Formentera del Segura;24.0;5.07692307692308;3.78787878787879;10.0;4986;3.3466819221967965;0.6864988558352403
Fornells de la Selva;38.0;8.19672131147541;6.9092935219023;8.0;28428;7.338444687842278;4.16210295728368
Fortuna;49.0;3.07382212144117;3.21100917431193;15.0;23318;1.4903746636307182;1.0142827571931277
Foz;64.0;3.83864182692308;2.22951124831631;12.0;11435;3.739305969431895;0.6152071517831394
Frades;20.0;3.66003568353889;2.0916189459507;12.0;2258;0.0854700854700854;1.709401709401709
Fraga;38.0;4.92307692307692;3.03061224489796;1.0;82754;12.31167250038046;0.5782985846903059
Franco, El;42.0;3.69767829900839;2.51496402877698;2.0;3744;4.010989010989011;2.3076923076923075
Franqueses del Vallès, Les;105.0;8.36453608247423;5.73466566113625;8.0;26400;13.463005339435544;1.3348588863463005
Fregenal de la Sierra;17.0;3.17647058823529;2.79411764705882;11.0;6997;1.4582686937635745;0.5274588892336333
Fresno de Torote;51.0;6.57196436943272;5.70725525051024;13.0;932;1.2400354295837024;4.517271922054916
Frigiliana;68.0;7.04558638922702;6.0259936710459;0.0;52950;2.948652770716828;3.4570411794611084
Friol;13.0;2.17461092668203;2.51652892561983;12.0;1512;0.5194805194805194;0.5627705627705628
Frontera;59.0;5.07352941176471;3.6231884057971;4.0;9650;2.3778071334214004;2.597974460590049
Fuengirola;272.0;7.74545454545455;7.19360815391884;0.0;510393;8.055930884821684;0.5568521475658191
Fuenlabrada;97.0;7.99517361111111;6.03896103896104;13.0;139308;11.006197745518074;0.1344924642624405
Fuenmayor;6.0;3.95919421487603;3.336079012169648;16.0;3112;6.01063829787234;0.3191489361702128
Fuensalida;47.0;3.57142857142857;3.32018255156354;7.0;3639;6.322478157267673;0.7466243050039714
Fuensanta de Martos;6.0;3.146629172627617;2.527683457804128;0.0;276;0.3058103975535168;0.3669724770642202
Fuente Obejuna;12.0;3.3556591234157507;2.9409677103458;0.0;12262;0.1188001188001188;0.3564003564003564
Fuente Palmera;73.0;3.19148936170213;2.62626262626263;0.0;1227;0.6659056316590564;1.3888888888888888
Fuente Vaqueros;22.0;4.206384226479411;2.71841922609752;0.0;1136;0.3592276605298608;0.9878760664571172
Fuente de Cantos;18.0;2.962972945965435;2.43265993265993;11.0;6283;0.3298969072164948;0.7422680412371134
Fuente de Piedra;31.0;5.801511378442833;3.40909090909091;0.0;5022;0.4881025015253203;1.891397193410616
Fuente del Maestre;17.0;2.6219512195122;2.07866345926047;11.0;10640;0.3871351995235259;0.5062537224538416
Fuente el Fresno;11.0;3.4787665376387884;2.36842105263158;7.0;473;0.0720980533525594;0.7930785868781542
Fuente el Saz de Jarama;106.0;7.79220779220779;6.49111676312926;13.0;2397;12.386706948640484;3.55824102047667
Fuente Álamo de Murcia;288.0;3.33333333333333;2.87617554858934;15.0;33098;2.3943661971830985;3.1202600216684724
Fuente-Álamo;16.0;3.027839300212005;1.74812105957046;7.0;2013;0.273037542662116;1.0921501706484642
Fuentes de Andalucía;30.0;4.939061551348131;2.37699622719251;0.0;2611;0.1162790697674418;0.872093023255814
Fuentes de Ebro;79.0;4.14662578646482;2.72727272727273;1.0;12480;3.471941865159467;3.189341945902301
Gabias, Las;236.0;5.0;3.83294255194092;0.0;12618;9.250120948234157;2.2835026608611515
Galapagar;488.0;7.43243243243243;6.69922718245402;13.0;41345;13.64878373875375;3.2522492502499167
Gallardos, Los;31.0;3.53207236842105;3.19148936170213;0.0;13772;0.7215874924834637;1.864101022248948
Gallur;36.0;3.4804707860967;3.05135841170324;1.0;1453;2.1367521367521367;1.9230769230769231
Galápagos;75.0;5.008943788713283;5.33757549255082;7.0;1077;0.3717472118959107;5.5762081784386615
Gandesa;23.0;3.51648351648352;2.86109949832776;8.0;403;3.6627505183137528;1.5894955079474775
Gandia;188.0;4.28571428571429;4.03317347092823;10.0;144946;6.102216095854098;0.3322376559573039
Garachico;29.0;5.48964218455744;2.85714285714286;4.0;19186;2.022058823529412;1.3327205882352942
Garriga, La;242.0;7.66666666666667;6.26097947344935;8.0;15396;15.5699591376638;3.409891503452163
Garrovillas de Alconétar;9.0;2.940886175242486;2.4188792491930404;11.0;8316;0.2095337873232058;0.4714510214772132
Garrucha;35.0;4.3956043956044;3.14285714285714;0.0;16418;6.532431601598525;0.5379649554257608
Gata de Gorgos;49.0;3.03030303030303;2.63157894736842;10.0;43952;2.19915987150976;1.21077341240425
Gavà;259.0;9.48544698544698;8.30944444444444;8.0;95403;10.874050454843852;1.214479977492263
Gelida;157.0;6.63855421686747;5.2212389380531;8.0;16405;9.20429034671988;3.916188575704664
Gelves;136.0;6.59090909090909;5.35890214650819;0.0;2236;5.372104484967965;3.3514046328240514
Gerena;132.0;4.939061551348131;3.52206273258905;0.0;4519;0.2504696305572949;4.132748904195366
Getafe;426.0;8.9427868852459;6.71040114158871;13.0;232958;14.991834198089348;0.6156870113165007
Gibraleón;59.0;4.04722904722905;3.48781653129479;0.0;26297;1.6824395373291272;1.2407991587802314
Gijón;436.0;6.41975308641975;5.84309512597127;2.0;243531;11.407523868693657;0.2764077140574877
Gilena;5.0;4.939061551348131;3.524814792568226;0.0;33;0.1040582726326743;0.2601456815816857
Gilet;102.0;3.81319127270177;4.44444444444444;10.0;3896;1.7722640673460346;4.519273371732388
Gines;197.0;5.75;4.72972972972973;0.0;7287;1.833568406205924;3.969373362885352
Gineta, La;48.0;2.83044058744993;3.10694518159072;7.0;2128;1.0666666666666669;3.2
Girona;470.0;7.9426897689769;6.4354737476055;8.0;230138;19.16786729488727;0.9150734005685136
Gironella;71.0;3.96039603960396;2.26241134751773;8.0;1841;7.228094101602455;2.42072962836686
Godella;174.0;4.96540733830846;7.46613013256633;10.0;16886;6.352665102246061;2.916526986255448
Godelleta;85.0;3.06030525526288;4.43601366443306;10.0;7515;0.7563819728963126;2.6788528206744404
Golmayo;38.0;6.36764705882353;4.74844313339889;6.0;5051;4.993342210386152;2.5299600532623168
