;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2020;Total_vu_2020;Alquiler_mes_vc_m2_2020;Alquiler_mes_vu_m2_2020;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2020;Poblacion_2021;Inmuebles_totales;Viviendas_turisticas_2020;Viviendas_turisticas_2021;Turistas_2020;Turistas_2021;Porcentaje_viviendas_turisticas_2020;Total_casas_alquiler_2020;Porcentaje_viviendas_alquiler_2020;Porcentaje_vc_alquiler_2020;Porcentaje_vu_alquiler_2020;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021
Sant Cugat del Vallès;8;Barcelona;8205;4760.0;1036.0;11.7325675675676;9.93699542438253;4909.0;1083.0;12.0535714285714;10.1997179487179;Cataluña;92977.0;94012.0;32111.0;153;233;194889;269741;0.47647223692815543;5796.0;18.049889445984242;14.823580704431503;3.2263087415527387;0.7256080470866682;5992.0;18.6602721808726;15.287596150851734;3.372676030020865
Sant Esteve Sesrovires;8;Barcelona;8208;172.0;154.0;6.94444444444444;6.34328358208955;170.0;150.0;7.10539894812195;6.90890927118208;Cataluña;7696.0;7771.0;3245.0;9;14;28897;27901;0.2773497688751926;326.0;10.046224961479199;5.300462249614792;4.745762711864407;0.43143297380585516;320.0;9.861325115562403;5.238828967642527;4.622496147919877
Sant Esteve de Palautordera;8;Barcelona;8207;118.0;113.0;6.05063291139241;5.6637706855792;122.0;115.0;6.37727060521178;5.83333333333333;Cataluña;2864.0;2997.0;1293.0;7;11;729;1148;0.5413766434648105;231.0;17.865429234338748;9.126063418406806;8.739365815931942;0.8507347254447022;237.0;18.329466357308586;9.435421500386697;8.894044856921887
Sant Feliu de Codines;8;Barcelona;8210;291.0;188.0;5.75316783737761;4.15841584158416;301.0;195.0;6.1343537414966;4.45568181818182;Cataluña;6363.0;6406.0;3209.0;11;17;5831;3328;0.3427859146151449;479.0;14.926768463695856;9.068245559364287;5.858522904331568;0.5297600498597694;496.0;15.456528513555625;9.37986911810533;6.076659395450296
Sant Feliu de Guíxols;17;Girona;17160;726.0;271.0;6.62745648512072;5.09595934119239;807.0;279.0;6.85483870967742;5.73770491803279;Cataluña;22097.0;22210.0;15259.0;637;1115;87992;136395;4.174585490530179;997.0;6.5338488760731375;4.7578478275116325;1.7760010485615048;7.307162985778884;1086.0;7.11711121305459;5.288682089258798;1.8284291237957926
Sant Feliu de Llobregat;8;Barcelona;8211;2256.0;102.0;9.74025974025974;6.92537280701754;2342.0;102.0;10.1042181294102;6.89333333333333;Cataluña;45467.0;45463.0;18864.0;11;27;32908;40592;0.058312128922815946;2358.0;12.5;11.959287531806616;0.5407124681933843;0.1431297709923664;2444.0;12.955894826123833;12.41518235793045;0.5407124681933843
Sant Fost de Campsentelles;8;Barcelona;8209;59.0;171.0;7.53846153846154;5.70628947506355;64.0;167.0;8.13757443841399;6.38766519823789;Cataluña;8853.0;8997.0;3323.0;10;31;4171;16167;0.30093289196509176;230.0;6.921456515197111;1.7755040625940415;5.145952452603069;0.9328919650917845;231.0;6.95154980439362;1.9259705085765875;5.025579295817033
Sant Fruitós de Bages;8;Barcelona;8213;262.0;80.0;5.51463963963964;4.66926070038911;290.0;83.0;5.63447569616082;5.02941176470588;Cataluña;8837.0;8936.0;3558.0;4;6;8489;10382;0.11242270938729623;342.0;9.612141652613827;7.363687464867903;2.2484541877459248;0.16863406408094436;373.0;10.483417650365373;8.150646430578977;2.332771219786397
Sant Gregori;17;Girona;17163;94.0;72.0;6.79611650485437;3.77643504531722;94.0;71.0;7.06099456099456;3.43727789623312;Cataluña;3928.0;4012.0;1345.0;8;13;7858;19831;0.5947955390334573;166.0;12.342007434944238;6.988847583643123;5.353159851301116;0.966542750929368;165.0;12.267657992565056;6.988847583643123;5.278810408921933
Sant Hilari Sacalm;17;Girona;17164;153.0;112.0;4.3208001004372;3.18181818181818;170.0;122.0;4.47675831892826;3.41428571428571;Cataluña;5703.0;5758.0;3031.0;15;35;15646;8372;0.4948861761794787;265.0;8.742989112504125;5.0478389970306825;3.695150115473441;1.1547344110854503;292.0;9.633784229627185;5.6087099967007585;4.025074232926427
