;Codigo_provincia;Provincia;Codigo_municipio;Total_vc_2020;Total_vu_2020;Alquiler_mes_vc_m2_2020;Alquiler_mes_vu_m2_2020;Total_vc_2021;Total_vu_2021;Alquiler_mes_vc_m2_2021;Alquiler_mes_vu_m2_2021;Comunidad_autonoma;Poblacion_2020;Poblacion_2021;Inmuebles_totales;Viviendas_turisticas_2020;Viviendas_turisticas_2021;Turistas_2020;Turistas_2021;Porcentaje_viviendas_turisticas_2020;Total_casas_alquiler_2020;Porcentaje_viviendas_alquiler_2020;Porcentaje_vc_alquiler_2020;Porcentaje_vu_alquiler_2020;Porcentaje_viviendas_turisticas_2021;Total_casas_alquiler_2021;Porcentaje_viviendas_alquiler_2021;Porcentaje_vc_alquiler_2021;Porcentaje_vu_alquiler_2021
Alcobendas;28;Madrid;28006;5914.0;543.0;10.1973684210526;14.0243902439024;6242.0;547.0;10.544458880306;14.045214045214;Madrid, Comunidad de;118417.0;116589.0;40862.0;83;169;178029;193750;0.2031227056923303;6457.0;15.80196759825755;14.473104595957125;1.3288630023004258;0.41358719592775683;6789.0;16.61445842102687;15.275806372668983;1.3386520483578874
Alcolea del Río;41;Sevilla;41006;2.0;7.0;4.691556399380442;3.484119177076676;2.0;8.0;4.939061551348131;3.524814792568226;Andalucía;3347.0;3348.0;1566.0;0;1;1790;1063;0.0;9.0;0.5747126436781609;0.1277139208173691;0.44699872286079184;0.06385696040868455;10.0;0.6385696040868455;0.1277139208173691;0.5108556832694764
Alcoletge;25;Lleida;25012;119.0;20.0;4.89000478240076;4.24528301886792;123.0;20.0;4.98278727445394;4.23158152414139;Cataluña;3435.0;3492.0;1557.0;1;2;2462;3337;0.06422607578676943;139.0;8.92742453436095;7.642903018625562;1.2845215157353886;0.12845215157353887;143.0;9.184328837508028;7.89980732177264;1.2845215157353886
Alcora, l';12;Castellón/Castelló;12005;246.0;46.0;2.77777777777778;2.60416666666667;273.0;45.0;2.83174031777557;2.7027027027027;Comunitat Valenciana;10417.0;10428.0;6540.0;2;7;8384;14199;0.03058103975535168;292.0;4.464831804281346;3.761467889908257;0.7033639143730887;0.10703363914373089;318.0;4.862385321100917;4.174311926605505;0.6880733944954128
Alcorcón;28;Madrid;28007;7807.0;63.0;8.87096774193548;7.99830827067669;8234.0;64.0;9.09090909090909;8.23968273696546;Madrid, Comunidad de;172384.0;170817.0;71689.0;47;100;118294;126998;0.06556096472262132;7870.0;10.977974305681485;10.890094714670312;0.08787959101117326;0.13949141430344963;8298.0;11.57499755890025;11.485723053746042;0.08927450515420776
Alcorisa;44;Teruel;44014;79.0;14.0;2.9557367501456;2.1551724137931;72.0;21.0;2.99546204620462;2.33766233766234;Aragón;3298.0;3293.0;2262.0;2;3;791;1511;0.08841732979664015;93.0;4.111405835543766;3.4924845269672855;0.618921308576481;0.13262599469496023;93.0;4.111405835543766;3.183023872679045;0.9283819628647215
Alcover;43;Tarragona;43005;95.0;55.0;4.54763148728666;3.75423360012109;106.0;55.0;4.68854103002893;3.81679389312977;Cataluña;5144.0;5185.0;2536.0;9;25;5639;9091;0.3548895899053628;150.0;5.914826498422713;3.7460567823343847;2.168769716088328;0.9858044164037855;161.0;6.348580441640379;4.17981072555205;2.168769716088328
Alcoy/Alcoi;3;Alicante;3009;2173.0;68.0;3.61415960873196;3.37576092971776;2310.0;63.0;3.73784574719154;3.55159176029963;Comunitat Valenciana;59354.0;59128.0;36672.0;88;198;53778;48872;0.2399650959860384;2241.0;6.110929319371728;5.925501745200698;0.18542757417102967;0.5399214659685864;2373.0;6.470876963350785;6.299083769633508;0.1717931937172775
Alcuéscar;10;Cáceres;10010;6.0;11.0;2.83368797891247;1.96540880503145;6.0;10.0;2.9408861752424866;2.22318209134615;Extremadura;2554.0;2486.0;1825.0;2;3;1564;1770;0.1095890410958904;17.0;0.9315068493150684;0.3287671232876712;0.6027397260273972;0.1643835616438356;16.0;0.8767123287671232;0.3287671232876712;0.547945205479452
Alcàsser;46;Valencia/Valéncia;46015;283.0;50.0;3.77775125201596;3.28947368421053;329.0;43.0;3.98058252427184;3.47222222222222;Comunitat Valenciana;10196.0;10266.0;4505.0;2;5;7363;9935;0.04439511653718091;333.0;7.391786903440622;6.2819089900110985;1.1098779134295227;0.11098779134295228;372.0;8.257491675915649;7.30299667036626;0.9544950055493896
Alcázar de San Juan;13;Ciudad Real;13005;940.0;206.0;4.53121860397196;3.2520325203252;1003.0;208.0;4.74511503309171;3.38983050847458;Castilla-La Mancha;30766.0;30548.0;15533.0;12;28;16240;22150;0.07725487671409258;1146.0;7.377840726195841;6.051632009270585;1.3262087169252559;0.18026137899954936;1211.0;7.796304641730509;6.457220112019571;1.339084529710938
Alcázares, Los;30;Murcia;30902;590.0;407.0;4.86111111111111;4.59854994629431;634.0;431.0;4.92957746478873;4.67289719626168;Murcia, Región de;16590.0;16935.0;21179.0;375;690;61956;76703;1.7706218423910478;997.0;4.707493271636999;2.785778365361915;1.9217149062750838;3.257944189999528;1065.0;5.028566032390575;2.9935313282024647;2.035034704188111
Alcúdia;7;Balears, Illes;7003;1052.0;324.0;6.57407407407407;5.17241379310345;1084.0;333.0;6.82257892263659;5.40540540540541;Balears, Illes;20819.0;20651.0;11115.0;1966;4041;186546;701950;17.687809266756634;1376.0;12.379667116509221;9.464687359424202;2.91497975708502;36.35627530364373;1417.0;12.748538011695906;9.752586594691858;2.9959514170040484
Alcúdia de Crespins, l';46;Valencia/Valéncia;46020;70.0;10.0;2.85712698412698;2.72189349112426;82.0;16.0;2.85714285714286;3.10369045562721;Comunitat Valenciana;5113.0;5144.0;2709.0;0;0;1777;1301;0.0;80.0;2.9531192321889996;2.5839793281653747;0.36913990402362495;0.0;98.0;3.6175710594315245;3.0269472129937247;0.5906238464378
Alcúdia, l';46;Valencia/Valéncia;46019;295.0;37.0;3.25471444362564;2.95363908275174;313.0;44.0;3.4;3.03310328204293;Comunitat Valenciana;12107.0;12193.0;5476.0;1;2;14269;11306;0.018261504747991233;332.0;6.06281957633309;5.387143900657414;0.6756756756756757;0.036523009495982466;357.0;6.519357195032871;5.715850986121256;0.8035062089116143
Aldaia;46;Valencia/Valéncia;46021;1288.0;64.0;4.59183673469388;3.92154684095861;1382.0;62.0;4.83870967741935;4.08888269713012;Comunitat Valenciana;32204.0;32313.0;14223.0;2;2;45728;38821;0.014061730999085987;1352.0;9.505730155382128;9.055754763411375;0.4499753919707516;0.014061730999085987;1444.0;10.152569781340082;9.716656120368418;0.4359136609716656
Aldea de San Nicolás, La;35;Palmas, Las;35020;36.0;37.0;6.36643026004728;2.27677939163139;40.0;51.0;5.60235611098372;2.59259259259259;Canarias;7508.0;7516.0;3634.0;94;187;9262;11283;2.5866813428728674;73.0;2.0088057237204184;0.9906439185470556;1.0181618051733627;5.145844799119428;91.0;2.5041276829939463;1.100715465052284;1.4034122179416622
Aldea del Fresno;28;Madrid;28008;58.0;41.0;5.26315789473684;4.3859649122807;68.0;42.0;5.48085387323944;5.07731958762887;Madrid, Comunidad de;2973.0;3085.0;1987.0;7;32;2469;3154;0.3522898842476095;99.0;4.98238550578762;2.9189733266230498;2.06341217916457;1.6104680422747861;110.0;5.5359838953195775;3.4222445898339204;2.1137393054856566
Aldea, L';43;Tarragona;43904;114.0;35.0;3.84615384615385;2.91289592760181;127.0;37.0;3.97058823529412;3.15802845528455;Cataluña;4147.0;4160.0;1892.0;12;35;22359;26358;0.6342494714587738;149.0;7.8752642706131075;6.025369978858351;1.849894291754757;1.849894291754757;164.0;8.668076109936575;6.7124735729386895;1.9556025369978858
Aldeamayor de San Martín;47;Valladolid;47007;2.0;186.0;4.356127331794859;4.09604519774011;2.0;194.0;4.556225863716588;4.19270541549953;Castilla y León;5634.0;5789.0;2908.0;4;9;2643;3682;0.1375515818431912;188.0;6.464924346629986;0.0687757909215956;6.396148555708391;0.30949105914718017;196.0;6.740027510316368;0.0687757909215956;6.671251719394773
Aldeanueva de Ebro;26;Rioja, La;26008;7.0;35.0;3.849641113557185;2.79288711288711;10.0;35.0;3.50608595847764;2.66666666666667;Rioja, La;2760.0;2794.0;1478.0;1;2;3283;2019;0.06765899864682003;42.0;2.841677943166441;0.4736129905277402;2.3680649526387008;0.13531799729364005;45.0;3.044654939106901;0.6765899864682002;2.3680649526387008
Alella;8;Barcelona;8003;254.0;263.0;10.6293044619423;8.14438632708054;254.0;269.0;11.2878337041157;8.67263888888889;Cataluña;9904.0;9954.0;3726.0;48;79;14187;18038;1.288244766505636;517.0;13.875469672571121;6.816961889425658;7.058507783145465;2.120236178207193;523.0;14.036500268384327;6.816961889425658;7.219538378958669
Alfacar;18;Granada;18011;84.0;99.0;3.76344086021505;2.95155445355712;85.0;101.0;3.78787878787879;3.07017543859649;Andalucía;5488.0;5497.0;2993.0;7;9;2235;6145;0.23387905111927831;183.0;6.114266622118276;2.8065486134313398;3.307718008686936;0.30070163715335785;186.0;6.214500501169395;2.8399599064483794;3.3745405947210156
Alfafar;46;Valencia/Valéncia;46022;809.0;47.0;4.42477876106195;4.61095861486486;851.0;52.0;4.65116279069767;4.70861486486486;Comunitat Valenciana;21395.0;21415.0;9701.0;13;19;14162;22621;0.1340068034223276;856.0;8.823832594577878;8.339346459127926;0.4844861354499536;0.19585609730955572;903.0;9.308318730027832;8.772291516338521;0.5360272136893104
Alfajarín;50;Zaragoza;50017;6.0;44.0;4.248229700099675;3.27380952380952;6.0;53.0;4.320547593041594;3.47826086956522;Aragón;2339.0;2374.0;1252.0;0;0;17802;30130;0.0;50.0;3.9936102236421727;0.4792332268370607;3.5143769968051117;0.0;59.0;4.712460063897764;0.4792332268370607;4.233226837060703
Alfara del Patriarca;46;Valencia/Valéncia;46025;274.0;16.0;5.64516129032258;6.12510046185341;287.0;14.0;6.4595589993782;8.15247237904611;Comunitat Valenciana;3282.0;3301.0;1885.0;3;5;4811;4105;0.15915119363395225;290.0;15.384615384615385;14.535809018567639;0.8488063660477454;0.26525198938992045;301.0;15.96816976127321;15.225464190981432;0.7427055702917772
Alfaro;26;Rioja, La;26011;238.0;32.0;3.59223300970874;2.65957446808511;245.0;32.0;3.87205387205387;2.62289068231842;Rioja, La;9611.0;9562.0;5373.0;3;8;17710;40499;0.05583472920156337;270.0;5.025125628140704;4.429555183324028;0.595570444816676;0.148892611204169;277.0;5.155406662944351;4.559836218127676;0.595570444816676
Alfoz de Lloredo;39;Cantabria;39001;24.0;10.0;5.76680672268908;3.73890547263682;27.0;13.0;6.17647058823529;3.59321305841924;Cantabria;2394.0;2437.0;1952.0;85;144;3729;6632;4.354508196721311;34.0;1.7418032786885247;1.2295081967213115;0.5122950819672131;7.377049180327869;40.0;2.0491803278688523;1.3831967213114753;0.6659836065573771
Alfàs del Pi, l';3;Alicante;3011;801.0;271.0;6.73697862037085;6.0279212086441;842.0;280.0;7.04641007100294;6.31011667467106;Comunitat Valenciana;20042.0;20495.0;12157.0;484;896;147505;182179;3.981245373036111;1072.0;8.817964958460147;6.588796578103151;2.229168380356996;7.370239368265197;1122.0;9.229250637492802;6.926050834909929;2.303199802582874
Algaba, La;41;Sevilla;41007;208.0;138.0;5.18072289156626;4.14414414414414;208.0;143.0;5.35587639311044;4.13793103448276;Andalucía;16503.0;16484.0;6410.0;3;6;6714;3415;0.046801872074883;346.0;5.3978159126365055;3.2449297971918876;2.152886115444618;0.093603744149766;351.0;5.4758190327613105;3.2449297971918876;2.230889235569423
Algaida;7;Balears, Illes;7004;58.0;207.0;4.66666666666667;4.59504087488495;57.0;206.0;4.91282505910165;4.93825479396165;Balears, Illes;5793.0;5963.0;2827.0;136;258;15249;41771;4.810753448885745;265.0;9.37389458790237;2.0516448532012737;7.322249734701097;9.126282278033251;263.0;9.303148213654051;2.0162716660771136;7.286876547576937
Algarinejo;18;Granada;18012;2.0;1.0;4.003230697966841;3.1980922242513095;1.0;0.0;4.206384226479411;3.2762375705642435;Andalucía;2467.0;2440.0;1852.0;9;19;1585;1813;0.48596112311015116;3.0;0.16198704103671707;0.1079913606911447;0.05399568034557235;1.0259179265658747;1.0;0.05399568034557235;0.05399568034557235;0.0
Algarrobo;29;Málaga;29005;144.0;20.0;6.04938271604938;4.93827160493827;160.0;25.0;6.75675675675676;5.36133960047003;Andalucía;6556.0;6551.0;5395.0;113;219;8753;14077;2.0945319740500463;164.0;3.0398517145505095;2.6691380908248377;0.3707136237256719;4.059314179796107;185.0;3.429101019462465;2.9657089898053752;0.4633920296570899
Algeciras;11;Cádiz;11004;2304.0;632.0;5.76923076923077;5.566854401335;2403.0;656.0;5.91856060606061;5.71585213032581;Andalucía;123078.0;122982.0;55582.0;90;197;910641;785388;0.16192292468784858;2936.0;5.28228563203915;4.145226872008924;1.1370587600302255;0.3544312907056241;3059.0;5.5035802957792095;4.323342089165557;1.1802382066136519
Algemesí;46;Valencia/Valéncia;46029;539.0;45.0;3.22080762250454;3.30056248425296;591.0;47.0;3.36538461538462;3.35059117279871;Comunitat Valenciana;27430.0;27305.0;13569.0;4;10;28559;20163;0.029478959392733435;584.0;4.303928071339082;3.9722897781708304;0.33163829316825116;0.0736973984818336;638.0;4.701894023140983;4.355516250276366;0.3463777728646179
Algete;28;Madrid;28009;622.0;182.0;7.05882352941176;6.3718487394958;639.0;183.0;7.16981132075472;6.45327102803738;Madrid, Comunidad de;20864.0;20749.0;7898.0;27;49;24383;24455;0.34185869840465943;804.0;10.179792352494303;7.875411496581413;2.3043808559128895;0.6204102304380856;822.0;10.407698151430742;8.090655862243606;2.317042289187136
Alginet;46;Valencia/Valéncia;46031;292.0;132.0;3.48837209302326;3.34821428571429;327.0;134.0;3.68686868686869;3.35215492665734;Comunitat Valenciana;13827.0;13942.0;7305.0;5;13;9417;7892;0.06844626967830253;424.0;5.804243668720055;3.997262149212868;1.8069815195071868;0.17796030116358658;461.0;6.310746064339494;4.476386036960986;1.834360027378508
Algodonales;11;Cádiz;11005;3.0;34.0;4.85866860174584;1.91489361702128;4.0;38.0;5.012413738285534;2.30654761904762;Andalucía;5506.0;5526.0;3415.0;53;87;8615;10542;1.5519765739385065;37.0;1.083455344070278;0.08784773060029283;0.9956076134699854;2.547584187408492;42.0;1.2298682284040996;0.1171303074670571;1.1127379209370425
Algorfa;3;Alicante;3012;20.0;20.0;5.08474576271186;4.69483568075117;18.0;19.0;5.03968253968254;5.6989247311828;Comunitat Valenciana;3125.0;3396.0;2566.0;97;172;22955;59682;3.780202650038971;40.0;1.558846453624318;0.779423226812159;0.779423226812159;6.703039750584567;37.0;1.441932969602494;0.7014809041309431;0.7404520654715511
Alguaire;25;Lleida;25016;25.0;18.0;3.73015873015873;2.29591836734694;29.0;21.0;4.10958904109589;2.57142857142857;Cataluña;3029.0;3065.0;1464.0;3;6;869;1228;0.20491803278688525;43.0;2.9371584699453552;1.7076502732240437;1.2295081967213115;0.4098360655737705;50.0;3.4153005464480874;1.9808743169398908;1.4344262295081966
Alguazas;30;Murcia;30007;43.0;74.0;3.1542464794892;2.8416149068323;46.0;80.0;3.40357458075905;2.88225171328749;Murcia, Región de;9761.0;9842.0;4255.0;4;7;7555;4590;0.09400705052878966;117.0;2.7497062279670974;1.0105757931844888;1.7391304347826086;0.1645123384253819;126.0;2.9612220916568743;1.0810810810810811;1.8801410105757932
Alhama de Almería;4;Almería;4011;39.0;19.0;3.3362480127186;2.63888888888889;38.0;14.0;3.48345588235294;2.79432848186296;Andalucía;3691.0;3733.0;2077.0;8;16;1249;555;0.38517091959557054;58.0;2.7924891670678864;1.8777082330284063;0.91478093403948;0.7703418391911411;52.0;2.5036109773712085;1.82956186807896;0.6740491092922485
Alhama de Granada;18;Granada;18013;12.0;16.0;3.19148936170213;2.36686390532544;10.0;16.0;3.19830878341517;2.92407660738714;Andalucía;5867.0;5667.0;3323.0;22;44;8892;15126;0.662052362323202;28.0;0.842612097502257;0.36111947035811015;0.48149262714414687;1.324104724646404;26.0;0.7824255191092386;0.30093289196509176;0.48149262714414687
Alhama de Murcia;30;Murcia;30008;577.0;122.0;3.88402187837109;2.74509803921569;630.0;120.0;4.11361804995971;2.91182170542636;Murcia, Región de;22160.0;22240.0;14118.0;200;327;101059;113408;1.4166312508853944;699.0;4.951126221844454;4.086981158804363;0.8641450630400906;2.31619209519762;750.0;5.31236719082023;4.462388440288993;0.8499787505312367
Alhaurín de la Torre;29;Málaga;29007;476.0;447.0;7.07053113553114;6.04754440961338;517.0;462.0;7.29692760942761;6.29688675107444;Andalucía;41170.0;41868.0;14670.0;213;406;44246;57082;1.4519427402862985;923.0;6.2917518745739605;3.2447171097477847;3.0470347648261757;2.767552828902522;979.0;6.6734832992501705;3.5241990456714385;3.149284253578732
Alhaurín el Grande;29;Málaga;29008;197.0;186.0;4.81927710843374;5.60747663551402;220.0;192.0;5.2502471576866;5.55555555555556;Andalucía;25358.0;26095.0;11228.0;198;393;49999;64340;1.7634485215532598;383.0;3.4111150694691843;1.7545422158888493;1.6565728535803348;3.5001781261132883;412.0;3.669397933737086;1.9593872461702886;1.7100106875667973
Alhendín;18;Granada;18014;336.0;98.0;4.8780487804878;3.84297520661157;380.0;108.0;5.12820512820513;4.01962204623012;Andalucía;9509.0;9674.0;4643.0;18;28;2439;10237;0.38768037906525954;434.0;9.347404695240147;7.2367004092181775;2.1107042860219685;0.6030583674348482;488.0;10.510445832435925;8.184363558044367;2.326082274391557
Alicante/Alacant;3;Alicante;3014;15394.0;686.0;5.625;6.18863636363636;16453.0;703.0;5.83333333333333;6.51260504201681;Comunitat Valenciana;337482.0;337304.0;195810.0;3815;6752;726665;982255;1.9483172463101988;16080.0;8.212042285889382;7.861702670956539;0.35033961493284305;3.4482406414381286;17156.0;8.761554568203872;8.402533067769777;0.35902150043409425
Aliseda;10;Cáceres;10018;4.0;0.0;2.83368797891247;2.2898007561048606;4.0;0.0;2.9408861752424866;2.4188792491930404;Extremadura;1777.0;1751.0;1597.0;1;14;1750;317;0.06261740763932373;4.0;0.25046963055729493;0.25046963055729493;0.0;0.8766437069505323;4.0;0.25046963055729493;0.25046963055729493;0.0
Aljaraque;21;Huelva;21002;100.0;234.0;5.97014925373134;4.92657856093979;102.0;227.0;6.1250925000925;4.99603334227228;Andalucía;21474.0;21706.0;8536.0;5;16;8278;8619;0.05857544517338332;334.0;3.9128397375820057;1.1715089034676665;2.7413308341143394;0.18744142455482662;329.0;3.8542642924086223;1.1949390815370198;2.659325210871603
Allariz;32;Ourense;32001;196.0;78.0;3.46534653465347;3.17460317460317;212.0;84.0;3.49426471767723;3.16764433467119;Galicia;6245.0;6314.0;6150.0;23;52;10817;13309;0.37398373983739835;274.0;4.455284552845528;3.186991869918699;1.2682926829268293;0.8455284552845529;296.0;4.813008130081301;3.4471544715447155;1.3658536585365855
Aller;33;Asturias;33002;174.0;44.0;3.74386252045826;2.01612903225806;177.0;43.0;3.84615384615385;2.08412637990103;Asturias, Principado de;10413.0;10346.0;8657.0;52;117;7974;6366;0.6006699780524432;218.0;2.51819336952755;2.009934157329329;0.5082592121982211;1.351507450617997;220.0;2.5412960609911055;2.0445881945246622;0.4967078664664433
Almacelles;25;Lleida;25019;248.0;22.0;3.73737373737374;3.20586324198295;259.0;22.0;3.82882882882883;3.31187032824179;Cataluña;6826.0;6875.0;3177.0;1;2;3821;3163;0.03147623544224111;270.0;8.498583569405099;7.8061063896757945;0.6924771797293043;0.06295247088448222;281.0;8.844822159269752;8.152344979540446;0.6924771797293043
Almadén;13;Ciudad Real;13011;44.0;33.0;2.10526315789474;1.72516174786746;43.0;40.0;2.55833764665286;1.98102334505295;Castilla-La Mancha;5200.0;5105.0;4363.0;3;6;2734;6274;0.068760027504011;77.0;1.7648407059362823;1.0084804033921613;0.756360302544121;0.137520055008022;83.0;1.9023607609443043;0.9855603942241576;0.9168003667201466
Almagro;13;Ciudad Real;13013;58.0;110.0;2.92857142857143;2.63157894736842;56.0;115.0;3.2643294653255;2.90056818181818;Castilla-La Mancha;8905.0;8896.0;4889.0;87;190;7490;12147;1.7795050112497444;168.0;3.4362855389650235;1.1863366741664962;2.2499488647985273;3.886275311924729;171.0;3.497647780732256;1.1454285129883413;2.352219267743915
Almansa;2;Albacete;2009;512.0;61.0;3.57142857142857;2.81471176366781;563.0;68.0;3.77358490566038;3.1585470505925;Castilla-La Mancha;24511.0;24388.0;11588.0;5;14;27628;31499;0.043148084225060404;573.0;4.944770452191922;4.418363824646185;0.526406627545737;0.12081463583016915;631.0;5.445288229202624;4.858474283741802;0.5868139454608216
Almazán;42;Soria;42020;127.0;13.0;3.80131362889984;2.98400673400673;145.0;14.0;3.96341463414634;3.1299552911266;Castilla y León;5477.0;5411.0;4014.0;4;8;10479;20994;0.09965122072745392;140.0;3.4877927254608867;3.163926258096662;0.3238664673642252;0.19930244145490783;159.0;3.961136023916293;3.6123567513702044;0.3487792725460887
Almedinilla;14;Córdoba;14004;4.0;4.0;3.3131299823142126;2.623066997413026;5.0;6.0;3.3556591234157507;2.7032598275321136;Andalucía;2370.0;2352.0;1262.0;5;11;1736;1108;0.39619651347068147;8.0;0.6339144215530903;0.31695721077654515;0.31695721077654515;0.8716323296354992;11.0;0.8716323296354992;0.39619651347068147;0.4754358161648177
Almenar;25;Lleida;25021;83.0;14.0;3.38625672043011;2.26595744680851;89.0;13.0;3.5;2.5;Cataluña;3357.0;3365.0;1840.0;2;2;1083;790;0.10869565217391304;97.0;5.271739130434782;4.510869565217392;0.7608695652173914;0.10869565217391304;102.0;5.543478260869565;4.836956521739131;0.7065217391304348
Almenara;12;Castellón/Castelló;12011;197.0;37.0;4.44261695906433;4.03558386033669;228.0;45.0;4.96764466002747;3.76106194690266;Comunitat Valenciana;6090.0;6254.0;5352.0;35;60;13830;16802;0.6539611360239163;234.0;4.37219730941704;3.680866965620329;0.6913303437967115;1.1210762331838564;273.0;5.1008968609865475;4.260089686098655;0.8408071748878924
Almendralejo;6;Badajoz;6011;580.0;96.0;3.25854700854701;2.85303672316384;633.0;103.0;3.33422330097087;3.07692307692308;Extremadura;33855.0;33741.0;16823.0;4;3;28599;33195;0.023776972002615467;676.0;4.018308268442014;3.447660940379243;0.5706473280627712;0.0178327290019616;736.0;4.374962848481246;3.7627058194138976;0.6122570290673482
Almensilla;41;Sevilla;41010;7.0;78.0;4.691556399380442;4.2057476775715;8.0;78.0;4.939061551348131;4.52519148731332;Andalucía;6175.0;6287.0;2405.0;7;12;3517;1885;0.2910602910602911;85.0;3.5343035343035343;0.2910602910602911;3.2432432432432434;0.498960498960499;86.0;3.575883575883576;0.33264033264033266;3.2432432432432434
Almería;4;Almería;4013;6652.0;650.0;5.51724137931035;4.33560606060606;6993.0;669.0;5.71428571428571;4.43262411347518;Andalucía;201322.0;200753.0;100618.0;578;1103;231200;253805;0.5744498996203462;7302.0;7.25715080800652;6.611143135423085;0.6460076725834344;1.096225327476197;7662.0;7.6149396728219605;6.950048699039933;0.6648909737820271
Almodóvar del Campo;13;Ciudad Real;13015;10.0;20.0;2.94235341195302;2.73972602739726;12.0;23.0;2.86262831641404;3.19327731092437;Castilla-La Mancha;5983.0;5947.0;4045.0;4;2;2987;5364;0.09888751545117429;30.0;0.7416563658838071;0.24721878862793573;0.49443757725587145;0.049443757725587144;35.0;0.865265760197775;0.29666254635352285;0.5686032138442522
Almodóvar del Río;14;Córdoba;14005;24.0;42.0;4.13106567164179;3.2520325203252;20.0;44.0;3.84615384615385;3.47949151977596;Andalucía;7932.0;8036.0;3789.0;24;49;2498;3798;0.6334125098970704;66.0;1.7418844022169437;0.6334125098970704;1.1084718923198733;1.293217207706519;64.0;1.6891000263921878;0.5278437582475587;1.1612562681446292
Almogía;29;Málaga;29011;3.0;13.0;5.543101159280062;2.95801061218025;5.0;14.0;5.801511378442833;2.85393114861915;Andalucía;3792.0;3859.0;1899.0;43;69;10487;7249;2.2643496577145865;16.0;0.842548709847288;0.1579778830963665;0.6845708267509215;3.6334913112164298;19.0;1.0005265929436546;0.2632964718272775;0.7372301211163771
Almoines;46;Valencia/Valéncia;46034;34.0;13.0;4.04040404040404;2.89031856051755;29.0;15.0;3.93258426966292;3.62903225806452;Comunitat Valenciana;2477.0;2528.0;1227.0;7;13;1927;600;0.5704971475142624;47.0;3.830480847595762;2.7709861450692745;1.0594947025264874;1.0594947025264874;44.0;3.5859820700896496;2.363488182559087;1.2224938875305624
Almonte;21;Huelva;21005;92.0;123.0;4.82954545454545;3.86601255997317;91.0;145.0;4.82954545454545;4.08163265306122;Andalucía;24507.0;24577.0;14174.0;152;326;69291;77193;1.0723860589812333;215.0;1.5168618597431918;0.6490757725412728;0.867786087201919;2.2999858896571186;236.0;1.6650204599971778;0.6420206011006068;1.0229998588965712
Almoradí;3;Alicante;3015;403.0;75.0;3.38172365296836;3.21264744429882;424.0;79.0;3.40909090909091;3.23529411764706;Comunitat Valenciana;21208.0;21404.0;10281.0;37;77;26999;47080;0.3598871705087054;478.0;4.649353175761113;3.919852154459683;0.7295010213014298;0.7489543818694679;503.0;4.892520182861589;4.124112440424083;0.7684077424375061
Almorox;45;Toledo;45013;18.0;31.0;3.04878048780488;2.80266160467314;23.0;29.0;3.630713649096;3.18181818181818;Castilla-La Mancha;2170.0;2318.0;2486.0;3;2;2244;1198;0.12067578439259855;49.0;1.9710378117457763;0.7240547063555913;1.246983105390185;0.08045052292839903;52.0;2.091713596138375;0.9251810136765889;1.166532582461786
Almudévar;22;Huesca;22021;27.0;41.0;3.83830455259027;3.70866907474298;34.0;41.0;4.35490019514741;3.68852459016393;Aragón;2377.0;2412.0;1474.0;0;0;5236;5360;0.0;68.0;4.613297150610584;1.8317503392130259;2.7815468113975577;0.0;75.0;5.088195386702849;2.306648575305292;2.7815468113975577
Almunia de Doña Godina, La;50;Zaragoza;50025;247.0;125.0;4.4997923046252;3.13223751930005;260.0;131.0;4.62533479660521;3.24675324675325;Aragón;8091.0;7983.0;3424.0;0;0;9821;11518;0.0;372.0;10.86448598130841;7.213785046728972;3.6507009345794392;0.0;391.0;11.419392523364486;7.593457943925234;3.8259345794392523
Almussafes;46;Valencia/Valéncia;46035;297.0;32.0;3.62637362637363;3.04347826086956;320.0;31.0;3.7037037037037;3.38983050847458;Comunitat Valenciana;8979.0;8984.0;4107.0;3;7;48789;50684;0.07304601899196493;329.0;8.010713416118822;7.231555880204529;0.7791575359142927;0.17044071098125152;351.0;8.546384222059897;7.791575359142927;0.754808862916971
Almuñécar;18;Granada;18017;844.0;128.0;5.69620253164557;4.60524122807017;872.0;145.0;5.88235294117647;5.26315789473684;Andalucía;25927.0;25890.0;26984.0;1062;2021;171321;232358;3.9356655796027273;972.0;3.6021345982804625;3.127779424844352;0.4743551734361103;7.489623480581085;1017.0;3.768900088941595;3.2315446190335013;0.5373554699080937
Almàssera;46;Valencia/Valéncia;46032;265.0;12.0;4.45298924672687;4.08291708291708;285.0;14.0;4.76190476190476;4.54246881335688;Comunitat Valenciana;7438.0;7433.0;3568.0;5;8;998;2481;0.14013452914798205;277.0;7.763452914798206;7.427130044843049;0.336322869955157;0.2242152466367713;299.0;8.380044843049328;7.987668161434978;0.3923766816143498
Alosno;21;Huelva;21006;3.0;18.0;4.154469603232021;3.0188679245283;4.0;15.0;4.3132931844605835;3.0188679245283;Andalucía;3933.0;3929.0;2338.0;0;0;2672;6373;0.0;21.0;0.8982035928143712;0.1283147989734816;0.7698887938408896;0.0;19.0;0.8126603934987169;0.1710863986313088;0.6415739948674081
